Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 36:2:0	13.457157	13.520581	13.400115	13.487094	[13.400115..13.520581]	Sum	[13.452182..13.452182]	[13.483298..13.483298]	[12.389674..12.389674]	[11.993471..11.993471]	[11.993471..13.483298]	
						PS 18:0-18:2	[1.119663..1.119663]	[1.0003858..1.0003858]	[1.0188063..1.0188063]	[0.8993402..0.8993402]	[0.8993402..1.119663]	
						PS 18:1/18:1	[12.332519..12.332519]	[12.482913..12.482913]	[11.370868..11.370868]	[11.094131..11.094131]	[11.094131..12.482913]	
PS 36:3:0	0.23377255	0.26023957	0.2540656	0.23920484	[0.23377255..0.26023957]	Sum	[0.29690918..0.29690918]	[0.3208162..0.3208162]	[0.2857039..0.2857039]	[0.2966578..0.2966578]	[0.2857039..0.3208162]	
						PS 16:1-20:2	[0.0025443356..0.0025443356]	[0.002855611..0.002855611]	[0.002560379..0.002560379]	[0.0025886616..0.0025886616]	[0.0025443356..0.002855611]	
						PS 16:0-20:3 (0z-11z)	[0.02933629..0.02933629]	[0.032015968..0.032015968]	[0.029552408..0.029552408]	[0.031430844..0.031430844]	[0.02933629..0.032015968]	
						PS 18:0-18:3 (0z-9z)	[0.027267..0.027267]	[0.029551398..0.029551398]	[0.025236355..0.025236355]	[0.026039992..0.026039992]	[0.025236355..0.029551398]	
						PS 18:1-18:2	[0.23776156..0.23776156]	[0.2563932..0.2563932]	[0.22835475..0.22835475]	[0.2365983..0.2365983]	[0.22835475..0.2563932]	
PS 36:4:0	0.18861884	0.17455348	0.19968823	0.22101359	[0.17455348..0.22101359]	Sum	[0.20121522..0.20121522]	[0.22432789..0.22432789]	[0.2110769..0.2110769]	[0.21905914..0.21905914]	[0.20121522..0.22432789]	
						PS 16:1-20:3 (0z-11z)	[0.012791826..0.012791826]	[0.013334923..0.013334923]	[0.013089616..0.013089616]	[0.01403956..0.01403956]	[0.012791826..0.01403956]	
						PS 16:0-20:4 (0z-8z)	[0.18608177..0.18608177]	[0.20844556..0.20844556]	[0.19577523..0.19577523]	[0.2026061..0.2026061]	[0.18608177..0.20844556]	
						PS 18:2/18:2	[0.0023416274..0.0023416274]	[0.002547409..0.002547409]	[0.002212062..0.002212062]	[0.0024134929..0.0024134929]	[0.002212062..0.002547409]	
PS 37:0:0	0.16477211	0.1496373	0.15949667	0.14588487	[0.14588487..0.16477211]	Sum	[0.08649055..0.08649055]	[0.093112685..0.093112685]	[0.07614422..0.07614422]	[0.07713446..0.07713446]	[0.07614422..0.093112685]	
						PS 18:0-19:0	[0.08649055..0.08649055]	[0.093112685..0.093112685]	[0.07614422..0.07614422]	[0.07713446..0.07713446]	[0.07614422..0.093112685]	
PS 37:1:0	0.8808644	0.9028388	0.86858964	0.9155121	[0.86858964..0.9155121]	Sum	[0.84912103..0.84912103]	[0.9333562..0.9333562]	[0.82980895..0.82980895]	[0.8699256..0.8699256]	[0.82980895..0.9333562]	
						PS 17:0-20:1	[0.055919066..0.055919066]	[0.06678964..0.06678964]	[0.06030411..0.06030411]	[0.05997417..0.05997417]	[0.055919066..0.06678964]	
						PS 18:1-19:0	[0.3435977..0.3435977]	[0.36630455..0.36630455]	[0.3266481..0.3266481]	[0.34429222..0.34429222]	[0.3266481..0.36630455]	
						PS 18:0-19:1	[0.44960427..0.44960427]	[0.500262..0.500262]	[0.4428568..0.4428568]	[0.46565923..0.46565923]	[0.4428568..0.500262]	
PS 37:2:0	0.28594005	0.2604327	0.26847932	0.28626838	[0.2604327..0.28626838]	Sum	[0.28577754..0.28577754]	[0.30758795..0.30758795]	[0.27508122..0.27508122]	[0.28233287..0.28233287]	[0.27508122..0.30758795]	
						PS 17:1-20:1	[0.008225829..0.008225829]	[0.008907378..0.008907378]	[0.008017581..0.008017581]	[0.007962984..0.007962984]	[0.007962984..0.008907378]	
						PS 17:0-20:2	[0.013278854..0.013278854]	[0.014920292..0.014920292]	[0.012920576..0.012920576]	[0.01244252..0.01244252]	[0.01244252..0.014920292]	
						PS 18:2-19:0	[0.0031087946..0.0031087946]	[0.0035765374..0.0035765374]	[0.003124274..0.003124274]	[0.003198714..0.003198714]	[0.0031087946..0.0035765374]	
						PS 18:1-19:1	[0.2288349..0.2288349]	[0.24596557..0.24596557]	[0.2221593..0.2221593]	[0.23000751..0.23000751]	[0.2221593..0.24596557]	
						PS 18:0-19:2	[0.032329183..0.032329183]	[0.03421816..0.03421816]	[0.028859464..0.028859464]	[0.028721126..0.028721126]	[0.028721126..0.03421816]	
PS 37:3:0	0.0	0.0	0.025959719	0.027968649	[0.0..0.027968649]	Sum	[0.08417922..0.08417922]	[0.09204406..0.09204406]	[0.08614984..0.08614984]	[0.08958779..0.08958779]	[0.08417922..0.09204406]	
						PS 17:0-20:3 (0z-11z)	[0.01194054..0.01194054]	[0.013268187..0.013268187]	[0.012070773..0.012070773]	[0.012798117..0.012798117]	[0.01194054..0.013268187]	
						PS 18:2-19:1	[0.002431922..0.002431922]	[0.0026577283..0.0026577283]	[0.0018908656..0.0018908656]	[0.0021100356..0.0021100356]	[0.0018908656..0.0026577283]	
						PS 18:1-19:2	[0.035615336..0.035615336]	[0.03762402..0.03762402]	[0.03732122..0.03732122]	[0.038228102..0.038228102]	[0.035615336..0.038228102]	
						PS 18:0-19:3 (0z-9z)	[0.03419143..0.03419143]	[0.038494125..0.038494125]	[0.03486698..0.03486698]	[0.036451537..0.036451537]	[0.03419143..0.038494125]	
PS 37:4:0	0.06397925	0.05415792	0.05810342	0.06432706	[0.05415792..0.06432706]	Sum	[0.062230647..0.062230647]	[0.06612345..0.06612345]	[0.0635037..0.0635037]	[0.06583648..0.06583648]	[0.062230647..0.06612345]	
						PS 17:1-20:3 (0z-11z)	[0.00549139..0.00549139]	[0.0057265605..0.0057265605]	[0.0059168744..0.0059168744]	[0.0056626676..0.0056626676]	[0.00549139..0.0059168744]	
						PS 17:0-20:4 (0z-8z)	[0.056739256..0.056739256]	[0.060396887..0.060396887]	[0.057586823..0.057586823]	[0.060173813..0.060173813]	[0.056739256..0.060396887]	
PS 38:1:0	7.0890055	7.1408153	7.0536137	7.131791	[7.0536137..7.1408153]	Sum	[7.5217285..7.5217285]	[8.5467415..8.5467415]	[7.3473434..7.3473434]	[7.376938..7.376938]	[7.3473434..8.5467415]	
						PS 18:1-20:0	[0.94197047..0.94197047]	[1.0241544..1.0241544]	[0.92328316..0.92328316]	[0.9691961..0.9691961]	[0.92328316..1.0241544]	
						PS 18:0-20:1	[6.5797586..6.5797586]	[7.522587..7.522587]	[6.4240603..6.4240603]	[6.4077425..6.4077425]	[6.4077425..7.522587]	
PS 38:2:0	4.2010875	4.223499	4.183767	4.2330217	[4.183767..4.2330217]	Sum	[4.612064..4.612064]	[5.046466..5.046466]	[4.54225..4.54225]	[4.5911636..4.5911636]	[4.54225..5.046466]	
						PS 18:1-20:1	[2.5113559..2.5113559]	[2.7362123..2.7362123]	[2.492171..2.492171]	[2.498128..2.498128]	[2.492171..2.7362123]	
						PS 18:0-20:2	[2.1007078..2.1007078]	[2.3102534..2.3102534]	[2.0500789..2.0500789]	[2.0930355..2.0930355]	[2.0500789..2.3102534]	
PS 38:3:0	2.9062147	2.950339	2.8371165	3.0151076	[2.8371165..3.0151076]	Sum	[2.5474863..2.5474863]	[2.8678296..2.8678296]	[2.6070518..2.6070518]	[2.7531836..2.7531836]	[2.5474863..2.8678296]	
						PS 18:1-20:2	[0.5019132..0.5019132]	[0.59577405..0.59577405]	[0.54079..0.54079]	[0.5675388..0.5675388]	[0.5019132..0.59577405]	
						PS 18:0-20:3 (0z-11z)	[2.045573..2.045573]	[2.2720554..2.2720554]	[2.0662618..2.0662618]	[2.1856449..2.1856449]	[2.045573..2.2720554]	
PS 38:4:0	9.371914	9.496334	10.004504	10.138214	[9.371914..10.138214]	Sum	[11.016239..11.016239]	[11.346491..11.346491]	[11.306036..11.306036]	[10.708466..10.708466]	[10.708466..11.346491]	
						PS 18:1-20:3 (0z-11z)	[1.8941306..1.8941306]	[2.0029423..2.0029423]	[1.9634566..1.9634566]	[1.8091736..1.8091736]	[1.8091736..2.0029423]	
						PS 18:0-20:4 (0z-8z)	[9.122108..9.122108]	[9.343549..9.343549]	[9.342579..9.342579]	[8.899293..8.899293]	[8.899293..9.343549]	
PS 38:5:0	1.0066932	0.9714661	1.0425302	1.143419	[0.9714661..1.143419]	Sum	[1.3822874..1.3822874]	[1.4649794..1.4649794]	[1.4407482..1.4407482]	[1.394368..1.394368]	[1.3822874..1.4649794]	
						PS 16:0-22:5 (0z-7z)	[0.19877417..0.19877417]	[0.21146114..0.21146114]	[0.19566423..0.19566423]	[0.19543491..0.19543491]	[0.19543491..0.21146114]	
						PS 18:1-20:4 (0z-8z)	[1.1835133..1.1835133]	[1.2535182..1.2535182]	[1.245084..1.245084]	[1.1989331..1.1989331]	[1.1835133..1.2535182]	
PS 38:6:0	0.25176606	0.2717924	0.27065802	0.30864578	[0.25176606..0.30864578]	Sum	[0.21427959..0.21427959]	[0.23468523..0.23468523]	[0.2140093..0.2140093]	[0.22511594..0.22511594]	[0.2140093..0.23468523]	
						PS 16:0-22:6	[0.20254256..0.20254256]	[0.22174218..0.22174218]	[0.20100138..0.20100138]	[0.21218324..0.21218324]	[0.20100138..0.22174218]	
						PS 18:2-20:4 (0z-8z)	[0.011737038..0.011737038]	[0.012943043..0.012943043]	[0.013007919..0.013007919]	[0.012932694..0.012932694]	[0.011737038..0.013007919]	
PS 39:0:0	0.0	-2.9032872E-6	-2.2486713E-6	0.0	[-2.9032872E-6..0.0]	Sum	[0.29788098..0.29788098]	[0.30436236..0.30436236]	[0.2945821..0.2945821]	[0.3108515..0.3108515]	[0.2945821..0.3108515]	
						PS 18:0-21:0	[0.29788098..0.29788098]	[0.30436236..0.30436236]	[0.2945821..0.2945821]	[0.3108515..0.3108515]	[0.2945821..0.3108515]	
PS 39:1:0	0.2491307	0.3025437	0.2848254	0.28870606	[0.2491307..0.3025437]	Sum	[0.4310389..0.4310389]	[0.4831314..0.4831314]	[0.42371455..0.42371455]	[0.4613139..0.4613139]	[0.42371455..0.4831314]	
						PS 16:1-23:0	[0.001902623..0.001902623]	[0.002814173..0.002814173]	[0.0015530528..0.0015530528]	[0.0020650243..0.0020650243]	[0.0015530528..0.002814173]	
						PS 17:1-22:0	[0.0033646715..0.0033646715]	[0.006040347..0.006040347]	[0.0027317584..0.0027317584]	[0.006378844..0.006378844]	[0.0027317584..0.006378844]	
						PS 18:1-21:0	[0.25616443..0.25616443]	[0.27684748..0.27684748]	[0.2403288..0.2403288]	[0.24827346..0.24827346]	[0.2403288..0.27684748]	
						PS 18:0-21:1	[0.14175285..0.14175285]	[0.16290292..0.16290292]	[0.14815037..0.14815037]	[0.17507134..0.17507134]	[0.14175285..0.17507134]	
						PS 19:1-20:0	[0.0027017486..0.0027017486]	[0.0029903033..0.0029903033]	[0.0031014127..0.0031014127]	[0.0019559104..0.0019559104]	[0.0019559104..0.0031014127]	
						PS 19:0-20:1	[0.025152558..0.025152558]	[0.031536207..0.031536207]	[0.02784918..0.02784918]	[0.027569352..0.027569352]	[0.025152558..0.031536207]	
PS 39:2:0	0.17471135	0.08823653	0.14222212	0.14437194	[0.08823653..0.17471135]	Sum	[0.39723524..0.39723524]	[0.42294192..0.42294192]	[0.4305009..0.4305009]	[0.42106026..0.42106026]	[0.39723524..0.4305009]	
						PS 18:1-21:1	[0.15694483..0.15694483]	[0.17753002..0.17753002]	[0.17652147..0.17652147]	[0.1794541..0.1794541]	[0.15694483..0.1794541]	
						PS 18:0-21:2	[0.21362516..0.21362516]	[0.21984978..0.21984978]	[0.23394227..0.23394227]	[0.21909063..0.21909063]	[0.21362516..0.23394227]	
						PS 19:1-20:1	[0.026665246..0.026665246]	[0.025562095..0.025562095]	[0.020037156..0.020037156]	[0.022515545..0.022515545]	[0.020037156..0.026665246]	
PS 39:3:0	0.18382679	0.16766705	0.17049572	0.18399929	[0.16766705..0.18399929]	Sum	[2.3215473..2.3215473]	[2.411885..2.411885]	[2.500472..2.500472]	[2.40769..2.40769]	[2.3215473..2.500472]	
						PS 18:0-21:3 (0z-11z)	[2.3215473..2.3215473]	[2.411885..2.411885]	[2.500472..2.500472]	[2.40769..2.40769]	[2.3215473..2.500472]	
PS 39:4:0	0.123921305	0.150621	0.13187955	0.13220586	[0.123921305..0.150621]	Sum	[0.5487334..0.5487334]	[0.560596..0.560596]	[0.58968246..0.58968246]	[0.56144786..0.56144786]	[0.5487334..0.58968246]	
						PS 17:0-22:4 (0z-10z)	[0.04556195..0.04556195]	[0.051868595..0.051868595]	[0.047653276..0.047653276]	[0.045538377..0.045538377]	[0.045538377..0.051868595]	
						PS 18:1-21:3 (0z-11z)	[0.39215493..0.39215493]	[0.39332157..0.39332157]	[0.42951137..0.42951137]	[0.40088207..0.40088207]	[0.39215493..0.42951137]	
						PS 18:0-21:4 (0z-8z)	[0.08613607..0.08613607]	[0.08845075..0.08845075]	[0.08554899..0.08554899]	[0.08727531..0.08727531]	[0.08554899..0.08845075]	
						PS 19:0-20:4 (0z-8z)	[0.024880407..0.024880407]	[0.026955068..0.026955068]	[0.026968826..0.026968826]	[0.027752087..0.027752087]	[0.024880407..0.027752087]	
PS 39:5:0	0.034963954	0.0	0.04536668	0.051872294	[0.0..0.051872294]	Sum	[0.03846661..0.03846661]	[0.042125598..0.042125598]	[0.03866095..0.03866095]	[0.04088658..0.04088658]	[0.03846661..0.042125598]	
						PS 17:1-22:4 (0z-10z)	[0.0018735053..0.0018735053]	[0.00226064..0.00226064]	[0.001893216..0.001893216]	[0.002040301..0.002040301]	[0.0018735053..0.00226064]	
						PS 17:0-22:5 (0z-7z)	[0.024043772..0.024043772]	[0.026443101..0.026443101]	[0.023635423..0.023635423]	[0.025669908..0.025669908]	[0.023635423..0.026443101]	
						PS 19:1-20:4 (0z-8z)	[0.012549331..0.012549331]	[0.013421855..0.013421855]	[0.013132312..0.013132312]	[0.013176373..0.013176373]	[0.012549331..0.013421855]	
PS 39:6:0	0.053600244	0.047482237	0.0	0.0	[0.0..0.053600244]	Sum	[0.032135565..0.032135565]	[0.034344073..0.034344073]	[0.031202495..0.031202495]	[0.03139047..0.03139047]	[0.031202495..0.034344073]	
						PS 17:0-22:6	[0.032135565..0.032135565]	[0.034344073..0.034344073]	[0.031202495..0.031202495]	[0.03139047..0.03139047]	[0.031202495..0.034344073]	
PS 40:1:0	1.2384772	1.3550258	1.2819922	1.3457035	[1.2384772..1.3550258]	Sum	[2.2454872..2.2454872]	[2.3482752..2.3482752]	[2.1536653..2.1536653]	[2.2390928..2.2390928]	[2.1536653..2.3482752]	
						PS 18:1-22:0	[1.521455..1.521455]	[1.5664802..1.5664802]	[1.4488757..1.4488757]	[1.5396651..1.5396651]	[1.4488757..1.5664802]	
						PS 18:0-22:1	[0.683981..0.683981]	[0.73273575..0.73273575]	[0.6660922..0.6660922]	[0.66276926..0.66276926]	[0.66276926..0.73273575]	
						PS 20:0-20:1	[0.040051185..0.040051185]	[0.049059365..0.049059365]	[0.038697395..0.038697395]	[0.036658294..0.036658294]	[0.036658294..0.049059365]	
PS 40:2:0	2.3455756	2.3456185	2.2488086	2.3302326	[2.2488086..2.3456185]	Sum	[2.4557896..2.4557896]	[2.6438844..2.6438844]	[2.373515..2.373515]	[2.5235443..2.5235443]	[2.373515..2.6438844]	
						PS 18:1-22:1	[1.6742435..1.6742435]	[1.8204033..1.8204033]	[1.6107374..1.6107374]	[1.7119317..1.7119317]	[1.6107374..1.8204033]	
						PS 18:0-22:2	[0.66653764..0.66653764]	[0.71406597..0.71406597]	[0.6565738..0.6565738]	[0.6911247..0.6911247]	[0.6565738..0.71406597]	
						PS 20:1/20:1	[0.11500857..0.11500857]	[0.109415226..0.109415226]	[0.10620378..0.10620378]	[0.12048818..0.12048818]	[0.10620378..0.12048818]	
PS 40:3:0	1.3477999	1.2195473	1.2382331	1.2346642	[1.2195473..1.3477999]	Sum	[3.396229..3.396229]	[3.6325128..3.6325128]	[3.1270607..3.1270607]	[3.1664376..3.1664376]	[3.1270607..3.6325128]	
						PS 18:1-22:2	[0.34469262..0.34469262]	[0.3884896..0.3884896]	[0.35145754..0.35145754]	[0.3475534..0.3475534]	[0.34469262..0.3884896]	
						PS 18:0-22:3	[3.0515366..3.0515366]	[3.244023..3.244023]	[2.7756033..2.7756033]	[2.8188844..2.8188844]	[2.7756033..3.244023]	
PS 40:4:0	10.146628	10.276647	10.222225	10.473965	[10.146628..10.473965]	Sum	[11.220455..11.220455]	[11.862995..11.862995]	[11.129489..11.129489]	[11.116452..11.116452]	[11.116452..11.862995]	
						PS 18:1-22:3	[0.46760577..0.46760577]	[0.5376712..0.5376712]	[0.5302982..0.5302982]	[0.4578308..0.4578308]	[0.4578308..0.5376712]	
						PS 18:0-22:4 (0z-10z)	[10.75285..10.75285]	[11.325324..11.325324]	[10.59919..10.59919]	[10.658622..10.658622]	[10.59919..11.325324]	
PS 40:5:0	9.01679	9.242242	8.873103	9.216739	[8.873103..9.242242]	Sum	[13.330912..13.330912]	[13.756849..13.756849]	[13.749384..13.749384]	[13.187406..13.187406]	[13.187406..13.756849]	
						PS 18:0-22:5 (0z-7z)	[13.330912..13.330912]	[13.756849..13.756849]	[13.749384..13.749384]	[13.187406..13.187406]	[13.187406..13.756849]	
PS 40:6:0	26.052237	25.84167	25.772692	26.22374	[25.772692..26.22374]	Sum	[21.563217..21.563217]	[23.06996..23.06996]	[20.318258..20.318258]	[20.876743..20.876743]	[20.318258..23.06996]	
						PS 18:0-22:6	[21.563217..21.563217]	[23.06996..23.06996]	[20.318258..20.318258]	[20.876743..20.876743]	[20.318258..23.06996]	
PS 40:7:0	0.44383	0.4499598	0.44926217	0.48647285	[0.44383..0.48647285]	Sum	[0.35827023..0.35827023]	[0.37955606..0.37955606]	[0.34520596..0.34520596]	[0.34964347..0.34964347]	[0.34520596..0.37955606]	
						PS 18:1-22:6	[0.29970664..0.29970664]	[0.31916353..0.31916353]	[0.28733155..0.28733155]	[0.29426017..0.29426017]	[0.28733155..0.31916353]	
						PS 20:3 (0z-11z)-20:4 (0z-8z)	[0.05856359..0.05856359]	[0.060392547..0.060392547]	[0.057874404..0.057874404]	[0.0553833..0.0553833]	[0.0553833..0.060392547]	
PS 40:8:0	0.049013905	0.0	0.05031905	0.061740175	[0.0..0.061740175]	Sum	[0.010394829..0.010394829]	[0.010765661..0.010765661]	[0.009212897..0.009212897]	[0.009661594..0.009661594]	[0.009212897..0.010765661]	
						PS 18:2-22:6	[0.0043023103..0.0043023103]	[0.0046830326..0.0046830326]	[0.0037447568..0.0037447568]	[0.0039230897..0.0039230897]	[0.0037447568..0.0046830326]	
						PS 20:4 (0z-8z)/20:4 (0z-8z)	[0.0060925186..0.0060925186]	[0.0060826275..0.0060826275]	[0.005468141..0.005468141]	[0.005738505..0.005738505]	[0.005468141..0.0060925186]	
PS 41:0:0	-3.2914995E-6	-3.0740687E-6	0.0	-2.1606402E-6	[-3.2914995E-6..0.0]	Sum	[0.73347396..0.73347396]	[0.77398676..0.77398676]	[0.72342837..0.72342837]	[0.778852..0.778852]	[0.72342837..0.778852]	
						PS 18:0-23:0	[0.73347396..0.73347396]	[0.77398676..0.77398676]	[0.72342837..0.72342837]	[0.778852..0.778852]	[0.72342837..0.778852]	
PS 41:1:0	0.24037348	0.2609765	0.25310025	0.22388484	[0.22388484..0.2609765]	Sum	[0.27536225..0.27536225]	[0.2592907..0.2592907]	[0.2366968..0.2366968]	[0.26025227..0.26025227]	[0.2366968..0.27536225]	
						PS 18:1-23:0	[0.27536225..0.27536225]	[0.2592907..0.2592907]	[0.2366968..0.2366968]	[0.26025227..0.26025227]	[0.2366968..0.27536225]	
PS 41:2:0	0.20774886	0.21770093	0.20230383	0.22287737	[0.20230383..0.22287737]	Sum	[1.2057656..1.2057656]	[1.262612..1.262612]	[1.3451568..1.3451568]	[1.2666061..1.2666061]	[1.2057656..1.3451568]	
						PS 18:1-23:1	[1.2057656..1.2057656]	[1.262612..1.262612]	[1.3451568..1.3451568]	[1.2666061..1.2666061]	[1.2057656..1.3451568]	
PS 41:3:0	0.07132351	0.09164192	0.10463875	0.085713446	[0.07132351..0.10463875]	Sum	[0.8197844..0.8197844]	[0.806274..0.806274]	[0.86050767..0.86050767]	[0.8341863..0.8341863]	[0.806274..0.86050767]	
						PS 18:1-23:2	[0.5307845..0.5307845]	[0.5231868..0.5231868]	[0.54870987..0.54870987]	[0.53460455..0.53460455]	[0.5231868..0.54870987]	
						PS 18:0-23:3	[0.27581212..0.27581212]	[0.2755339..0.2755339]	[0.29830664..0.29830664]	[0.28390566..0.28390566]	[0.2755339..0.29830664]	
						PS 19:0-22:3	[0.013187805..0.013187805]	[0.007553235..0.007553235]	[0.013491119..0.013491119]	[0.015676092..0.015676092]	[0.007553235..0.015676092]	
PS 41:4:0	0.0611301	0.07433047	0.08643377	0.0858708	[0.0611301..0.08643377]	Sum	[0.47093463..0.47093463]	[0.5050815..0.5050815]	[0.2741115..0.2741115]	[0.27252418..0.27252418]	[0.27252418..0.5050815]	
						PS 18:1-23:3	[0.13661869..0.13661869]	[0.14150867..0.14150867]	[0.08368323..0.08368323]	[0.0789225..0.0789225]	[0.0789225..0.14150867]	
						PS 18:0-23:4 (0z-10z)	[0.2977599..0.2977599]	[0.32148647..0.32148647]	[0.1515489..0.1515489]	[0.1510689..0.1510689]	[0.1510689..0.32148647]	
						PS 19:1-22:3	[0.0036463575..0.0036463575]	[0.0050603813..0.0050603813]	[0.00658536..0.00658536]	[0.006574814..0.006574814]	[0.0036463575..0.00658536]	
						PS 19:0-22:4 (0z-10z)	[0.024291947..0.024291947]	[0.026858173..0.026858173]	[0.02333549..0.02333549]	[0.025829973..0.025829973]	[0.02333549..0.026858173]	
						PS 20:4 (0z-8z)-21:0	[0.008617761..0.008617761]	[0.010167797..0.010167797]	[0.008958478..0.008958478]	[0.010127997..0.010127997]	[0.008617761..0.010167797]	
PS 41:5:0	0.080956265	0.06071183	0.0625128	0.050908886	[0.050908886..0.080956265]	Sum	[0.019934507..0.019934507]	[0.022995437..0.022995437]	[0.017638387..0.017638387]	[0.020465296..0.020465296]	[0.017638387..0.022995437]	
						PS 19:0-22:5 (0z-7z)	[0.019934507..0.019934507]	[0.022995437..0.022995437]	[0.017638387..0.017638387]	[0.020465296..0.020465296]	[0.017638387..0.022995437]	
PS 41:6:0	0.092654616	0.11291617	0.12827584	0.115052894	[0.092654616..0.12827584]	Sum	[0.024634099..0.024634099]	[0.03536383..0.03536383]	[0.026667165..0.026667165]	[0.025461163..0.025461163]	[0.024634099..0.03536383]	
						PS 19:0-22:6	[0.024634099..0.024634099]	[0.03536383..0.03536383]	[0.026667165..0.026667165]	[0.025461163..0.025461163]	[0.024634099..0.03536383]	
PS 42:1:0	0.27189597	0.20458917	0.28874382	0.2208501	[0.20458917..0.28874382]	Sum	[3.3723106..3.3723106]	[3.5264902..3.5264902]	[2.8651664..2.8651664]	[2.7274265..2.7274265]	[2.7274265..3.5264902]	
						PS 18:1-24:0	[1.3646219..1.3646219]	[1.3841587..1.3841587]	[1.0405225..1.0405225]	[1.042372..1.042372]	[1.0405225..1.3841587]	
						PS 18:0-24:1	[2.0076888..2.0076888]	[2.1423314..2.1423314]	[1.8246442..1.8246442]	[1.6850548..1.6850548]	[1.6850548..2.1423314]	
PS 42:2:0	1.6096159	1.6137881	1.5637727	1.6392992	[1.5637727..1.6392992]	Sum	[2.3677135..2.3677135]	[2.4052694..2.4052694]	[2.154375..2.154375]	[2.2286336..2.2286336]	[2.154375..2.4052694]	
						PS 18:1-24:1	[1.9553279..1.9553279]	[1.9967203..1.9967203]	[1.7803175..1.7803175]	[1.8238816..1.8238816]	[1.7803175..1.9967203]	
						PS 18:0-24:2	[0.37541506..0.37541506]	[0.37195405..0.37195405]	[0.33265027..0.33265027]	[0.36123985..0.36123985]	[0.33265027..0.37541506]	
						PS 20:1-22:1	[0.036970444..0.036970444]	[0.036594987..0.036594987]	[0.04140727..0.04140727]	[0.043512344..0.043512344]	[0.036594987..0.043512344]	
