Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 14:0/20:4 (5z-8z)	[0.018948877..0.024513515]	[0.016701203..0.022751309]	[0.015940694..0.024348993]	[0.019318579..0.023081515]	[0.015940694..0.024513515]	
						PG 18:1/16:3 (7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:3 (7z)/18:1	[0.010253298..0.01351371]	[0.010784584..0.01148771]	[0.0094995685..0.013414448]	[0.010547299..0.012102566]	[0.0094995685..0.01351371]	
						PG 18:2/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:2	[0.018966295..0.024234023]	[0.019732352..0.023006454]	[0.017545287..0.025442438]	[0.020378402..0.022657905]	[0.017545287..0.025442438]	
						PG 18:3 (6z-9z)/16:1	[0.0..6.245663E-4]	[0.0..3.5764536E-4]	[0.0..6.9116894E-4]	[0.0..9.5579936E-4]	[0.0..9.5579936E-4]	
						PG 16:1/18:3 (6z-9z)	[0.009397185..0.013288645]	[0.009259267..0.011921513]	[0.009014738..0.013552332]	[0.009730132..0.012412978]	[0.009014738..0.013552332]	
						PG 18:4 (8z)/16:0	[0.00430744..0.004948058]	[0.004014476..0.0053602397]	[0.0043380554..0.00587545]	[0.0031263218..0.0052614417]	[0.0031263218..0.00587545]	
						PG 16:0/18:4 (8z)	[0.0..0.0]	[0.0..3.5913606E-4]	[0.0..0.0]	[0.0..9.575824E-4]	[0.0..9.575824E-4]	
PG 35:1:0	0.68998	0.69444007	0.67526704	0.672442	[0.672442..0.69444007]	Sum	[0.7232087..0.77166194]	[0.74490744..0.78330296]	[0.6880109..0.77054924]	[0.70637643..0.7787338]	[0.6880109..0.78330296]	
						PG 19:1/16:0	[0.03622866..0.05529394]	[0.032724444..0.057202872]	[0.030525083..0.04928438]	[0.02994122..0.053389825]	[0.02994122..0.057202872]	
						PG 16:0/19:1	[0.122337356..0.14567472]	[0.12744352..0.15687744]	[0.12243213..0.15349638]	[0.120097555..0.15748079]	[0.120097555..0.15748079]	
						PG 18:0/17:1	[0.030132428..0.037819505]	[0.03136583..0.04082154]	[0.027146323..0.039450966]	[0.029174859..0.040325582]	[0.027146323..0.04082154]	
						PG 17:1/18:0	[0.0028987254..0.006502156]	[0.0035394812..0.0075244997]	[0.0029614172..0.0099058105]	[0.0026740762..0.0065168245]	[0.0026740762..0.0099058105]	
						PG 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:1	[0.51120687..0.5488838]	[0.5252671..0.5586591]	[0.48666003..0.54170054]	[0.50560284..0.5593498]	[0.48666003..0.5593498]	
PG 35:2:0	0.44498676	0.4228879	0.40380162	0.39153212	[0.39153212..0.44498676]	Sum	[0.54019856..0.57853806]	[0.5261932..0.5604975]	[0.495538..0.59038895]	[0.545572..0.6061042]	[0.495538..0.6061042]	
						PG 19:1/16:1	[0.0..0.005445983]	[0.0023355202..0.003525118]	[0.0011400981..0.003941658]	[0.0026325602..0.0043315985]	[0.0..0.005445983]	
						PG 16:1/19:1	[6.285235E-4..0.0070911236]	[0.0026469228..0.003928386]	[0.0013794316..0.004259068]	[0.0020876948..0.0036845831]	[6.285235E-4..0.0070911236]	
						PG 19:2/16:0	[0.008722695..0.014655803]	[0.010759198..0.016156726]	[0.010399977..0.020548224]	[0.010131727..0.014944763]	[0.008722695..0.020548224]	
						PG 16:0/19:2	[0.013629211..0.019931892]	[0.012474032..0.017981347]	[0.00941071..0.019274168]	[0.013685787..0.019082364]	[0.00941071..0.019931892]	
						PG 18:1/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:1	[0.13779013..0.15277588]	[0.13369825..0.14068842]	[0.12682903..0.15543474]	[0.14294286..0.15695344]	[0.12682903..0.15695344]	
						PG 18:2/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:2	[0.366688..0.39374143]	[0.35840675..0.38552362]	[0.3389916..0.39697137]	[0.37037084..0.4114625]	[0.3389916..0.4114625]	
PG 35:3:0	0.06269859	0.05851931	0.056814615	0.05392724	[0.05392724..0.06269859]	Sum	[0.11675021..0.13746236]	[0.12125025..0.13870005]	[0.10989011..0.14612338]	[0.121157005..0.14224747]	[0.10989011..0.14612338]	
						PG 20:3 (5z-11z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/20:3 (5z-11z)	[0.0053403913..0.0074547455]	[0.0054233787..0.0074821156]	[0.0053617293..0.007987651]	[0.005884442..0.008386754]	[0.0053403913..0.008386754]	
						PG 19:2/16:1	[2.4458778E-4..4.2317438E-4]	[3.532651E-4..8.018925E-4]	[2.3978007E-4..7.631464E-4]	[3.9644493E-4..6.3562574E-4]	[2.3978007E-4..8.018925E-4]	
						PG 16:1/19:2	[3.606007E-4..5.529368E-4]	[1.4932704E-4..5.695867E-4]	[0.0..3.4952103E-4]	[3.5210568E-4..5.8114354E-4]	[0.0..5.8114354E-4]	
						PG 19:3 (6z-9z)/16:0	[5.9294945E-4..0.0067582796]	[0.0023016469..0.007650675]	[0.0030190723..0.010706617]	[0.0017505183..0.0074554197]	[5.9294945E-4..0.010706617]	
						PG 16:0/19:3 (6z-9z)	[0.0076342234..0.016842624]	[0.008134392..0.014893077]	[0.006493854..0.015508847]	[0.00771882..0.014792232]	[0.006493854..0.016842624]	
						PG 18:1/17:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:2/18:1	[0.010944867..0.011228303]	[0.011768057..0.012540375]	[0.010305477..0.013223904]	[0.011893624..0.012831525]	[0.010305477..0.013223904]	
						PG 18:2/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:2	[0.08529731..0.09052398]	[0.08540078..0.09068946]	[0.0802051..0.094130464]	[0.085658334..0.09477855]	[0.0802051..0.09477855]	
						PG 18:3 (6z-9z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:3 (6z-9z)	[0.004557915..0.0056510814]	[0.004503805..0.005993695]	[0.0038054523..0.005685289]	[0.004763947..0.005517941]	[0.0038054523..0.005993695]	
PG 36:1:0	15.210805	16.211384	16.60184	16.319956	[15.210805..16.60184]	Sum	[19.442255..20.545166]	[18.768177..20.621992]	[16.098877..21.04077]	[19.20609..21.583277]	[16.098877..21.583277]	
						PG 20:1/16:0	[0.0..0.06654488]	[0.0091187935..0.06876166]	[0.0..0.02675422]	[0.005257631..0.049871873]	[0.0..0.06876166]	
						PG 16:0/20:1	[0.29823166..0.40087283]	[0.2641193..0.3536314]	[0.25045398..0.3993167]	[0.30529314..0.38080463]	[0.25045398..0.40087283]	
						PG 18:0/18:1	[19.041382..20.187572]	[18.442505..20.258173]	[15.700859..20.641453]	[18.819487..21.232769]	[15.700859..21.232769]	
						PG 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.16513163]	[0.0..0.0]	[0.0..0.16513163]	
PG 36:2:0	20.263876	20.206896	20.410593	20.22388	[20.206896..20.410593]	Sum	[18.779997..20.214401]	[20.131975..21.468563]	[18.318695..21.403059]	[20.5191..21.449976]	[18.318695..21.468563]	
						PG 20:2/16:0	[0.0..0.01670365]	[0.0..0.07154808]	[0.0..0.042088717]	[0.0..0.032780696]	[0.0..0.07154808]	
						PG 16:0/20:2	[0.34708062..0.41759124]	[0.35867062..0.46763453]	[0.351809..0.44303912]	[0.36196604..0.45528746]	[0.34708062..0.46763453]	
						PG 18:0/18:2	[14.223923..15.338777]	[15.197631..16.306208]	[13.733789..16.036345]	[15.346707..16.272816]	[13.733789..16.306208]	
						PG 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:1/18:1	[4.146775..4.593623]	[4.5108852..4.694722]	[4.1961656..4.9297905]	[4.7111053..4.7823434]	[4.146775..4.9297905]	
PG 36:3:0	4.6300645	4.602202	4.70106	4.5493526	[4.5493526..4.70106]	Sum	[3.9562185..4.6222205]	[4.137587..4.793492]	[3.8604147..4.9179525]	[4.4418..5.1209273]	[3.8604147..5.1209273]	
						PG 20:3 (5z-11z)/16:0	[0.0..0.004060948]	[0.0..0.09141588]	[0.0..0.0045500603]	[0.0..0.05918759]	[0.0..0.09141588]	
						PG 16:0/20:3 (5z-11z)	[1.0203607..1.3536494]	[0.9925201..1.4063983]	[1.0321996..1.5166867]	[1.1303166..1.5575682]	[0.9925201..1.5575682]	
						PG 18:0/18:3 (6z-9z)	[0.09499673..0.13054763]	[0.121383645..0.15681064]	[0.102686405..0.14066897]	[0.11177531..0.14016008]	[0.09499673..0.15681064]	
						PG 18:3 (6z-9z)/18:0	[0.0..0.017232288]	[0.0..0.0037634554]	[0.0..0.0033760553]	[0.0..0.011493128]	[0.0..0.017232288]	
						PG 18:1/18:2	[2.472206..2.7746496]	[2.612462..2.755756]	[2.3362021..3.1159909]	[2.7143059..3.0234406]	[2.3362021..3.1159909]	
						PG 18:2/18:1	[0.3210173..0.38475975]	[0.36586565..0.4263741]	[0.20055565..0.46437013]	[0.3141558..0.45687553]	[0.20055565..0.46437013]	
PG 36:4:0	6.3716254	6.180166	6.316886	6.2567716	[6.180166..6.3716254]	Sum	[4.700849..6.52982]	[5.0268254..5.800043]	[4.8655996..6.228912]	[5.117267..6.3193636]	[4.700849..6.52982]	
						PG 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.14716125]	[0.0..0.14716125]	
						PG 16:0/20:4 (5z-8z)	[4.2738333..5.964149]	[4.575278..5.302021]	[4.4505496..5.716341]	[4.6227922..5.660048]	[4.2738333..5.964149]	
						PG 18:3 (6z-9z)/18:1	[0.022537915..0.046385948]	[0.029386679..0.050015397]	[0.018695483..0.048612747]	[0.029527845..0.049622748]	[0.018695483..0.050015397]	
						PG 18:1/18:3 (6z-9z)	[0.027561028..0.052512392]	[0.021237971..0.040520694]	[0.019008117..0.048961975]	[0.018214019..0.036848575]	[0.018214019..0.052512392]	
						PG 18:2/18:2	[0.36951897..0.46677345]	[0.39825386..0.43686306]	[0.37734616..0.4524683]	[0.43162444..0.47006735]	[0.36951897..0.47006735]	
PG 36:5:0	0.13819999	0.12985788	0.16261035	0.15012664	[0.12985788..0.16261035]	Sum	[0.12226327..0.16663665]	[0.13067457..0.15304571]	[0.12027858..0.17012271]	[0.1429793..0.16017824]	[0.12027858..0.17012271]	
						PG 22:5 (4z-7z)/14:0	[0.0..0.0016183674]	[0.0..5.4213824E-4]	[0.0..0.0011097792]	[0.0..0.0]	[0.0..0.0016183674]	
						PG 14:0/22:5 (4z-7z)	[0.007470562..0.01244898]	[0.009190061..0.011534857]	[0.007874603..0.013533892]	[0.010714512..0.0114233205]	[0.007470562..0.013533892]	
						PG 20:4 (5z-8z)/16:1	[0.0..0.0014985581]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0012765168]	[0.0..0.0014985581]	
						PG 16:1/20:4 (5z-8z)	[0.059748728..0.08815047]	[0.064318106..0.082934834]	[0.06215968..0.09131034]	[0.06817303..0.08510112]	[0.059748728..0.09131034]	
						PG 20:5 (5z)/16:0	[0.0040501403..0.01263117]	[0.0038939063..0.011640707]	[0.0046564103..0.013941301]	[0.004950686..0.013060068]	[0.0038939063..0.013941301]	
						PG 16:0/20:5 (5z)	[0.007627133..0.016629985]	[0.008051169..0.016138252]	[0.00639361..0.016044421]	[0.008895135..0.017647473]	[0.00639361..0.017647473]	
						PG 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:3 (6z-9z)/18:2	[0.035435274..0.04176254]	[0.036815513..0.039222747]	[0.03233503..0.042548086]	[0.039921902..0.04191494]	[0.03233503..0.042548086]	
PG 37:1:0	0.04808137	0.053566013	0.061362598	0.0647466	[0.04808137..0.0647466]	Sum	[0.30751884..0.4306218]	[0.26113436..0.41472092]	[0.28684118..0.41550973]	[0.2809364..0.45226398]	[0.26113436..0.45226398]	
						PG 16:0/21:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 21:1/16:0	[0.206127..0.325567]	[0.17049935..0.30559805]	[0.1854163..0.30355033]	[0.18653862..0.33421248]	[0.17049935..0.33421248]	
						PG 20:1/17:0	[5.3314892E-5..4.4798673E-4]	[0.0..4.6540672E-4]	[0.0..9.861981E-5]	[1.2687834E-5..3.873091E-4]	[0.0..4.6540672E-4]	
						PG 17:0/20:1	[0.0014661595..0.0018932308]	[0.0013880517..0.0021447316]	[0.0014644127..0.0020126493]	[0.0012957449..0.0020995114]	[0.0012957449..0.0021447316]	
						PG 19:0/18:1	[0.065232344..0.06913924]	[0.05745698..0.071391314]	[0.058322858..0.07211717]	[0.061552558..0.07805117]	[0.05745698..0.07805117]	
						PG 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:0	[0.013673679..0.018594258]	[0.014195184..0.019793877]	[0.01366411..0.021813367]	[0.011659695..0.02024607]	[0.011659695..0.021813367]	
						PG 18:0/19:1	[0.015641604..0.020595124]	[0.014100969..0.019686105]	[0.01331858..0.021396793]	[0.01475436..0.024042208]	[0.01331858..0.024042208]	
PG 37:2:0	0.08966222	0.11028902	0.09709783	0.10409886	[0.08966222..0.11028902]	Sum	[0.16502117..0.19181731]	[0.14911109..0.18625362]	[0.15625858..0.1875957]	[0.15373161..0.19027632]	[0.14911109..0.19181731]	
