Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 37:0:0	0.16177213	0.14690103	0.15660541	0.143223	[0.143223..0.16177213]	Sum	[0.08649055..0.08649055]	[0.093112685..0.093112685]	[0.07614422..0.07614422]	[0.07713446..0.07713446]	[0.07614422..0.093112685]
						PS 18:0-19:0	[0.08649055..0.08649055]	[0.093112685..0.093112685]	[0.07614422..0.07614422]	[0.07713446..0.07713446]	[0.07614422..0.093112685]
PS 37:1:0	0.9051892	0.9230885	0.8903879	0.9388346	[0.8903879..0.9388346]	Sum	[0.84912103..0.84912103]	[0.9333562..0.9333562]	[0.82980895..0.82980895]	[0.8699256..0.8699256]	[0.82980895..0.9333562]
						PS 17:0-20:1	[0.055919066..0.055919066]	[0.06678964..0.06678964]	[0.06030411..0.06030411]	[0.05997417..0.05997417]	[0.055919066..0.06678964]
						PS 18:1-19:0	[0.3435977..0.3435977]	[0.36630455..0.36630455]	[0.3266481..0.3266481]	[0.34429222..0.34429222]	[0.3266481..0.36630455]
						PS 18:0-19:1	[0.44960427..0.44960427]	[0.500262..0.500262]	[0.4428568..0.4428568]	[0.46565923..0.46565923]	[0.4428568..0.500262]
PS 37:2:0	0.28073403	0.25567043	0.2660978	0.28368735	[0.25567043..0.28368735]	Sum	[0.28577754..0.28577754]	[0.30758795..0.30758795]	[0.27508122..0.27508122]	[0.28233287..0.28233287]	[0.27508122..0.30758795]
						PS 17:1-20:1	[0.008225829..0.008225829]	[0.008907378..0.008907378]	[0.008017581..0.008017581]	[0.007962984..0.007962984]	[0.007962984..0.008907378]
						PS 17:0-20:2	[0.013278854..0.013278854]	[0.014920292..0.014920292]	[0.012920576..0.012920576]	[0.01244252..0.01244252]	[0.01244252..0.014920292]
						PS 18:2-19:0	[0.0031087946..0.0031087946]	[0.0035765374..0.0035765374]	[0.003124274..0.003124274]	[0.003198714..0.003198714]	[0.0031087946..0.0035765374]
						PS 18:1-19:1	[0.2288349..0.2288349]	[0.24596557..0.24596557]	[0.2221593..0.2221593]	[0.23000751..0.23000751]	[0.2221593..0.24596557]
