Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 36:1:0	60.966415	60.94407	60.80867	60.391212	[60.391212..60.966415]	Sum	[54.2417..57.877136]	[54.884846..57.706024]	[56.494965..58.62713]	[54.085533..58.829082]	[54.085533..58.829082]
						PS 18:0/18:1	[54.233627..57.86988]	[54.71715..57.70713]	[56.490112..58.624203]	[53.156765..58.76487]	[53.156765..58.76487]
						PS 18:1/18:0	[0.0..0.0]	[0.0..0.1731214]	[0.0..0.0]	[0.0..0.9990028]	[0.0..0.9990028]
PS 36:2:0	8.072128	8.1088085	8.019381	8.013475	[8.013475..8.1088085]	Sum	[7.2745547..7.850334]	[6.9774604..7.652273]	[6.7834167..7.520269]	[6.58572..7.8663597]	[6.58572..7.8663597]
						PS 18:0/18:2	[0.58186466..0.6546687]	[0.55338293..0.61482185]	[0.59920293..0.62144965]	[0.53415734..0.6308458]	[0.53415734..0.6546687]
						PS 18:2/18:0	[0.0..0.017676054]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.017676054]
						PS 18:1/18:1	[6.6213717..7.235343]	[6.4210935..7.03723]	[6.180858..6.898266]	[6.052469..7.235194]	[6.052469..7.235343]
PS 36:3:0	0.15548469	0.17009065	0.16812178	0.15987873	[0.15548469..0.17009065]	Sum	[0.17295836..0.1880115]	[0.1788717..0.18544033]	[0.16878285..0.18564373]	[0.17587359..0.18522698]	[0.16878285..0.1880115]
						PS 16:1/20:2	[0.0..3.9164856E-4]	[0.0..2.1904304E-4]	[0.0..5.292202E-4]	[7.269699E-5..8.03675E-4]	[0.0..8.03675E-4]
						PS 20:2/16:1	[0.0011348367..0.0017641827]	[0.0012916916..0.001810273]	[0.0010379484..0.001735148]	[8.117831E-4..0.0016489195]	[8.117831E-4..0.001810273]
						PS 16:0/20:3 (5z-11z)	[0.017782487..0.020293793]	[0.019082643..0.020267032]	[0.018328082..0.020485634]	[0.019551178..0.02046436]	[0.017782487..0.020485634]
						PS 20:3 (5z-11z)/16:0	[0.0..2.0293792E-4]	[0.0..1.0133516E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..2.0293792E-4]
						PS 18:0/18:3 (6z-9z)	[0.016340617..0.017819677]	[0.016212253..0.01763486]	[0.014443511..0.015682252]	[0.015812894..0.01618956]	[0.014443511..0.017819677]
						PS 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:2/18:1	[0.057548076..0.06461778]	[0.059183873..0.06450517]	[0.05623727..0.06349987]	[0.057087008..0.062617466]	[0.05623727..0.06461778]
						PS 18:1/18:2	[0.076501854..0.08474702]	[0.08010602..0.08586061]	[0.07507207..0.08394161]	[0.07903287..0.08557236]	[0.07507207..0.08586061]
PS 36:4:0	0.11290047	0.10443472	0.11922659	0.13103738	[0.10443472..0.13103738]	Sum	[0.10412662..0.13236523]	[0.09732524..0.13890684]	[0.10627947..0.13470633]	[0.102965906..0.1405286]	[0.09732524..0.1405286]
						PS 20:3 (5z-11z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 16:1/20:3 (5z-11z)	[0.005240295..0.0074278396]	[0.00531602..0.0075173266]	[0.006004061..0.0076191192]	[0.00552693..0.0081892945]	[0.005240295..0.0081892945]
						PS 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 16:0/20:4 (5z-8z)	[0.0965428..0.12352364]	[0.09040377..0.13001043]	[0.098398685..0.12585464]	[0.09560673..0.13099147]	[0.09040377..0.13099147]
						PS 18:2/18:2	[0.0013054193..0.0021007275]	[0.001388492..0.0016328142]	[0.0012484996..0.0019287642]	[0.0013671659..0.0018743476]	[0.0012484996..0.0021007275]
PS 37:0:0	0.09862667	0.089527465	0.09522966	0.0864941	[0.0864941..0.09862667]	Sum	[0.041903347..0.05174203]	[0.038466014..0.053325396]	[0.03529696..0.045154735]	[0.03510181..0.046811543]	[0.03510181..0.053325396]
						PS 19:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/19:0	[0.04190953..0.051753245]	[0.038466755..0.053324714]	[0.03530052..0.04515248]	[0.035105824..0.046817783]	[0.035105824..0.053324714]
PS 37:1:0	0.5518614	0.56256765	0.54143304	0.56697357	[0.54143304..0.56697357]	Sum	[0.48866603..0.5301168]	[0.4799225..0.53191173]	[0.47146982..0.4867936]	[0.49288929..0.5158985]	[0.47146982..0.53191173]
						PS 17:0/20:1	[0.032736946..0.035288587]	[0.03170638..0.038485862]	[0.030224537..0.036003593]	[0.031132892..0.036051545]	[0.030224537..0.038485862]
						PS 20:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 19:0/18:1	[0.103759244..0.14240737]	[0.09766885..0.136891]	[0.09896018..0.13314974]	[0.09092681..0.12897432]	[0.09092681..0.14240737]
						PS 18:1/19:0	[0.071713075..0.10551193]	[0.072753325..0.10994395]	[0.06697685..0.098001525]	[0.076203436..0.11350575]	[0.06697685..0.11350575]
						PS 18:0/19:1	[0.25778994..0.28457353]	[0.2473351..0.28568918]	[0.24259822..0.26178852]	[0.25986362..0.27621713]	[0.24259822..0.28568918]
						PS 19:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 37:2:0	0.17115347	0.15581596	0.16181053	0.17132223	[0.15581596..0.17132223]	Sum	[0.16115478..0.17906426]	[0.15893233..0.17951444]	[0.15703101..0.16235802]	[0.16090357..0.1755017]	[0.15703101..0.17951444]
						PS 17:1/20:1	[6.925E-5..9.996038E-4]	[4.023425E-4..0.0013503236]	[4.2411854E-4..0.0015566162]	[3.5270533E-4..0.0013022578]	[6.925E-5..0.0015566162]
						PS 20:1/17:1	[0.003661017..0.004756569]	[0.0031927822..0.0046745935]	[0.002942043..0.004131195]	[0.0033896358..0.004623015]	[0.002942043..0.004756569]
						PS 17:0/20:2	[0.0073170303..0.00862013]	[0.007175304..0.009247757]	[0.0069590793..0.007909058]	[0.0071059456..0.008261576]	[0.0069590793..0.009247757]
						PS 20:2/17:0	[0.0..8.620129E-5]	[0.0..0.0]	[0.0..0.0]	[0.0..3.965557E-4]	[0.0..3.965557E-4]
						PS 19:0/18:2	[0.0013609958..0.0017130147]	[0.0012603652..0.0017134078]	[6.7769294E-4..0.0016892231]	[0.0011680467..0.0017605793]	[6.7769294E-4..0.0017605793]
						PS 18:2/19:0	[3.3573637E-4..5.176924E-4]	[4.2534876E-4..7.812089E-4]	[3.1588943E-4..0.0012873184]	[3.683974E-4..7.3859544E-4]	[3.1588943E-4..0.0012873184]
						PS 18:1/19:1	[0.060988713..0.08595677]	[0.06137419..0.08461625]	[0.059071574..0.07725601]	[0.05974584..0.08317366]	[0.059071574..0.08595677]
						PS 19:1/18:1	[0.051318202..0.07524787]	[0.05229133..0.074694745]	[0.05159255..0.06956949]	[0.0532975..0.07632406]	[0.051318202..0.07632406]
						PS 18:0/19:2	[0.018292429..0.02008138]	[0.017795332..0.020279668]	[0.016656583..0.017704898]	[0.017040778..0.019282704]	[0.016656583..0.020279668]
						PS 19:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 37:3:0	0.0	0.0	0.020476544	0.022053897	[0.0..0.022053897]	Sum	[0.048997067..0.05354426]	[0.047753606..0.05273561]	[0.050359253..0.052148085]	[0.0518165..0.05337507]	[0.047753606..0.05354426]
						PS 17:0/20:3 (5z-11z)	[0.0071949093..0.008618391]	[0.0078060576..0.0082881935]	[0.0069027445..0.00807435]	[0.007843688..0.008677949]	[0.0069027445..0.008677949]
						PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..3.8756875E-4]	[0.0..0.0]	[0.0..3.8756875E-4]
						PS 18:2/19:1	[7.007773E-4..9.40872E-4]	[5.581885E-4..0.0010467174]	[5.1527924E-4..7.6580024E-4]	[5.535492E-4..9.2904276E-4]	[5.1527924E-4..0.0010467174]
						PS 19:1/18:2	[4.0650074E-4..6.114271E-4]	[3.904699E-4..8.558628E-4]	[4.6537849E-4..7.0410705E-4]	[3.8304165E-4..7.3532166E-4]	[3.8304165E-4..8.558628E-4]
						PS 18:1/19:2	[0.020032477..0.022643125]	[0.019017309..0.021270674]	[0.021226255..0.023979452]	[0.021831596..0.024017802]	[0.019017309..0.024017802]
						PS 19:2/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/19:3 (6z-9z)	[0.019253716..0.02155072]	[0.019403212..0.022368103]	[0.01886414..0.020916998]	[0.018433444..0.021995554]	[0.018433444..0.022368103]
						PS 19:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 37:4:0	0.038295686	0.03240249	0.034691438	0.038139056	[0.03240249..0.038295686]	Sum	[0.030315757..0.03952838]	[0.02868041..0.04031373]	[0.03108193..0.039896082]	[0.030303676..0.04166528]	[0.02868041..0.04166528]
						PS 17:1/20:3 (5z-11z)	[0.002055532..0.0031788347]	[0.0024152733..0.003269225]	[0.0025118259..0.003464844]	[0.00246896..0.0033729963]	[0.002055532..0.003464844]
						PS 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 17:0/20:4 (5z-8z)	[0.0282647..0.03661027]	[0.026265688..0.037047233]	[0.02857324..0.03643595]	[0.02783819..0.038298015]	[0.026265688..0.038298015]
						PS 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 38:3:0	1.739556	1.7651774	1.6939392	1.7876357	[1.6939392..1.7876357]	Sum	[1.5000981..1.9426227]	[1.6491479..1.8584427]	[1.5519211..1.7487315]	[1.6463418..1.7996973]	[1.5000981..1.9426227]
						PS 18:1/20:2	[0.16467838..0.22191882]	[0.16043605..0.22276084]	[0.19034849..0.21919748]	[0.17955111..0.20368218]	[0.16043605..0.22276084]
						PS 20:2/18:1	[0.102282934..0.14609946]	[0.10016643..0.14931183]	[0.09626106..0.122941196]	[0.12655859..0.1453893]	[0.09626106..0.14931183]
						PS 18:0/20:3 (5z-11z)	[1.2149994..1.5968366]	[1.318888..1.51376]	[1.2411505..1.4381182]	[1.3187286..1.4851483]	[1.2149994..1.5968366]
						PS 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 38:4:0	5.6961913	5.7646747	6.062549	6.1078935	[5.6961913..6.1078935]	Sum	[5.3484535..6.7879295]	[5.0569153..6.7666197]	[5.454136..6.9476275]	[5.378479..6.6196165]	[5.0569153..6.9476275]
						PS 18:1/20:3 (5z-11z)	[0.7269144..1.1451778]	[0.6750916..1.102194]	[0.87283087..1.117805]	[0.77487445..1.0562236]	[0.6750916..1.1451778]
						PS 20:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/20:4 (5z-8z)	[4.6223288..5.6442237]	[4.3819213..5.664884]	[4.5818543..5.830644]	[4.6042204..5.5852175]	[4.3819213..5.830644]
						PS 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 38:5:0	0.6250163	0.60544527	0.64652646	0.7051811	[0.60544527..0.7051811]	Sum	[0.73087204..0.84997064]	[0.6901443..0.8607676]	[0.7588412..0.8766954]	[0.7276634..0.87478906]	[0.6901443..0.8766954]
						PS 16:0/22:5 (4z-7z)	[0.13276975..0.16191834]	[0.13770485..0.1539875]	[0.13105436..0.1618035]	[0.1297446..0.17564297]	[0.1297446..0.17564297]
						PS 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:1/20:4 (5z-8z)	[0.5701335..0.6983305]	[0.5369003..0.71401703]	[0.59829855..0.73777574]	[0.56739557..0.72470635]	[0.5369003..0.73777574]
						PS 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 38:6:0	0.15069814	0.16261244	0.16160007	0.18299389	[0.15069814..0.18299389]	Sum	[0.15546322..0.19421732]	[0.16546232..0.18938197]	[0.1559822..0.19334807]	[0.1643152..0.19305472]	[0.15546322..0.19421732]
						PS 16:0/22:6 (4z)	[0.14820752..0.18738854]	[0.15757613..0.18278179]	[0.14785191..0.18638387]	[0.15616877..0.18591714]	[0.14785191..0.18738854]
						PS 22:6 (4z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:2/20:4 (5z-8z)	[0.0068574483..0.0074540754]	[0.0066038095..0.008368773]	[0.006983689..0.008148717]	[0.0071596997..0.008169031]	[0.0066038095..0.008368773]
						PS 20:4 (5z-8z)/18:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:1:0	0.18165012	0.19743215	0.19647273	0.19779764	[0.18165012..0.19779764]	Sum	[0.26082003..0.3053123]	[0.2843649..0.31897485]	[0.2609875..0.31760538]	[0.28344166..0.36823002]	[0.26082003..0.36823002]
						PS 23:0/16:1	[0.0..0.0010641364]	[7.240504E-4..0.0016786964]	[0.0..8.7940664E-4]	[0.0..0.0011735802]	[0.0..0.0016786964]
						PS 16:1/23:0	[0.0..0.0010641364]	[1.1641596E-4..8.960363E-4]	[0.0..8.7940664E-4]	[0.0..0.0011735802]	[0.0..0.0011735802]
						PS 22:0/17:1	[0.0..0.001932137]	[0.0019906622..0.0034801017]	[0.0015457923..0.001752712]	[0.0..0.0024717893]	[0.0..0.0034801017]
						PS 17:1/22:0	[0.0..0.001932137]	[3.2154607E-5..0.0011225]	[0.0..0.0]	[0.0012438316..0.004367119]	[0.0..0.004367119]
						PS 21:0/18:1	[0.021614363..0.08214336]	[0.016934074..0.07942409]	[0.019961584..0.078877516]	[0.017167144..0.08033394]	[0.016934074..0.08214336]
						PS 18:1/21:0	[0.08512506..0.16505982]	[0.09203983..0.17154065]	[0.08140362..0.15942538]	[0.08612917..0.17175516]	[0.08140362..0.17175516]
						PS 18:0/21:1	[0.09143487..0.103673466]	[0.101609915..0.10685965]	[0.097198404..0.11255288]	[0.11298367..0.15519324]	[0.09143487..0.15519324]
						PS 21:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 20:0/19:1	[0.0..0.0018319245]	[0.001544123..0.0023893656]	[0.0..0.0017789629]	[0.0..0.0011260053]	[0.0..0.0023893656]
						PS 19:1/20:0	[0.0..0.0018319245]	[0.0..0.0]	[0.0..0.0017789629]	[0.0..0.0011260053]	[0.0..0.0018319245]
						PS 20:1/19:0	[0.0027776603..0.0065143295]	[0.0044710347..0.0068382085]	[0.003447567..0.00481268]	[0.00471879..0.008524817]	[0.0027776603..0.008524817]
						PS 19:0/20:1	[0.009602342..0.0148534]	[0.0099922065..0.013216859]	[0.012000818..0.014133894]	[0.009073322..0.0134850545]	[0.009073322..0.0148534]
PS 39:3:0	0.12116021	0.114300825	0.11336566	0.12051722	[0.11336566..0.12116021]	Sum	[1.0114329..1.3855412]	[0.9394273..1.3838617]	[1.0668623..1.4853361]	[1.0751904..1.4357481]	[0.9394273..1.4853361]
						PS 18:0/21:3 (5z-11z)	[1.0115821..1.3858415]	[0.9394454..1.3838439]	[1.0669699..1.4852619]	[1.0753136..1.4356856]	[0.9394454..1.4852619]
						PS 21:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:4:0	0.07664917	0.09011601	0.08293998	0.08315211	[0.07664917..0.09011601]	Sum	[0.28046268..0.34017354]	[0.26049033..0.3199058]	[0.3127597..0.346887]	[0.2877915..0.34159666]	[0.26049033..0.346887]
						PS 17:0/22:4 (7z-10z)	[0.02432199..0.03154574]	[0.029346596..0.032860603]	[0.029805468..0.031391937]	[0.028730484..0.03322986]	[0.02432199..0.03322986]
						PS 22:4 (7z-10z)/17:0	[0.0..0.004290221]	[0.0..3.2860602E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..0.004290221]
						PS 18:1/21:3 (5z-11z)	[0.19601253..0.23362441]	[0.17445397..0.21538876]	[0.21964167..0.24330977]	[0.20346302..0.24235977]	[0.17445397..0.24330977]
						PS 21:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/21:4 (5z-8z)	[0.038607392..0.051609583]	[0.040575203..0.050718494]	[0.04403564..0.05117448]	[0.038315684..0.052423887]	[0.038315684..0.052423887]
						PS 21:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 19:0/20:4 (5z-8z)	[0.009995007..0.016020758]	[0.01168533..0.018132867]	[0.011785771..0.017185057]	[0.008890683..0.019201577]	[0.008890683..0.019201577]
						PS 20:4 (5z-8z)/19:0	[0.0013687429..0.006520484]	[8.7178935E-4..0.0057956316]	[0.0012586744..0.005194617]	[0.0..0.00827588]	[0.0..0.00827588]
PS 39:5:0	0.025897058	0.0	0.027086794	0.030754713	[0.0..0.030754713]	Sum	[0.025393663..0.02870395]	[0.025748068..0.028204575]	[0.024706626..0.028342422]	[0.026536955..0.029392095]	[0.024706626..0.029392095]
						PS 17:1/22:4 (7z-10z)	[4.7840644E-4..6.9316424E-4]	[3.9470097E-4..4.970308E-4]	[3.9161276E-4..6.9874455E-4]	[2.3070822E-4..7.302833E-4]	[2.3070822E-4..7.302833E-4]
						PS 22:4 (7z-10z)/17:1	[6.579564E-4..9.309994E-4]	[9.016079E-4..0.0010991122]	[6.1417534E-4..9.570682E-4]	[6.4878725E-4..0.0012181303]	[6.1417534E-4..0.0012181303]
						PS 17:0/22:5 (4z-7z)	[0.016969964..0.020000098]	[0.016848212..0.01919833]	[0.016047897..0.020797424]	[0.017902562..0.021242393]	[0.016047897..0.021242393]
						PS 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 19:1/20:4 (5z-8z)	[0.006109276..0.007625769]	[0.0054044225..0.00763505]	[0.0058920416..0.0077768336]	[0.0061911205..0.00786948]	[0.0054044225..0.00786948]
						PS 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:6:0	0.032083184	0.028408453	0.0	0.0	[0.0..0.032083184]	Sum	[0.022625428..0.030472444]	[0.024025846..0.028876824]	[0.022710865..0.029288901]	[0.023200532..0.030352091]	[0.022625428..0.030472444]
						PS 17:0/22:6 (4z)	[0.022630049..0.030469097]	[0.024027474..0.02887738]	[0.022713551..0.029287333]	[0.023203725..0.030357873]	[0.022630049..0.030469097]
						PS 22:6 (4z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 40:6:0	15.635888	15.504259	15.430374	15.593293	[15.430374..15.635888]	Sum	[15.035968..18.569096]	[15.838003..19.354614]	[14.4784975..18.05904]	[14.654088..18.066479]	[14.4784975..19.354614]
						PS 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/22:6 (4z)	[15.039039..18.571836]	[15.839078..19.355974]	[14.480207..18.060862]	[14.656104..18.065477]	[14.480207..19.355974]
PS 40:7:0	0.2703725	0.26920936	0.27251035	0.29430526	[0.26920936..0.29430526]	Sum	[0.24453633..0.33978966]	[0.2489756..0.32663497]	[0.23626673..0.33020747]	[0.2421466..0.32256246]	[0.23626673..0.33978966]
						PS 18:1/22:6 (4z)	[0.19250092..0.2975953]	[0.19666287..0.28255582]	[0.18414171..0.27951768]	[0.19245975..0.27663875]	[0.18414171..0.2975953]
						PS 22:6 (4z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 20:4 (5z-8z)/20:3 (5z-11z)	[0.042157095..0.064682946]	[0.0423528..0.06497413]	[0.04899867..0.06484114]	[0.044188965..0.06869506]	[0.042157095..0.06869506]
						PS 20:3 (5z-11z)/20:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 40:8:0	0.029337965	0.0	0.033486575	0.036605306	[0.0..0.036605306]	Sum	[0.0092600575..0.013275571]	[0.0108744325..0.012703543]	[0.008422714..0.010556686]	[0.008867255..0.010143624]	[0.008422714..0.013275571]
						PS 18:2/22:6 (4z)	[6.453391E-4..0.006383002]	[0.0017202974..0.0046220277]	[0.0019029437..0.0033971195]	[0.002321234..0.0032795153]	[6.453391E-4..0.006383002]
						PS 22:6 (4z)/18:2	[0.0..0.0042255474]	[0.0012553522..0.0038988085]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0042255474]
						PS 20:4 (5z-8z)/20:4 (5z-8z)	[0.0065889573..0.0074100397]	[0.005931323..0.0077058617]	[0.0062160585..0.0071589993]	[0.00579151..0.0073252516]	[0.00579151..0.0077058617]
PS 41:1:0	0.16368772	0.1766468	0.16985357	0.15371099	[0.15371099..0.1766468]	Sum	[0.14949863..0.15996581]	[0.14128904..0.1835846]	[0.13216731..0.17721632]	[0.14728306..0.1614946]	[0.13216731..0.1835846]
						PS 23:0/18:1	[0.14953104..0.15998943]	[0.12112148..0.18358812]	[0.13218546..0.17723419]	[0.1368268..0.16082723]	[0.12112148..0.18358812]
						PS 18:1/23:0	[0.0..0.0]	[0.0..0.025885925]	[0.0..0.0]	[0.0..0.0112579055]	[0.0..0.025885925]
PS 41:2:0	0.13066487	0.13831063	0.12992845	0.13932078	[0.12992845..0.13932078]	Sum	[0.38959932..0.67592317]	[0.31335458..0.6918585]	[0.37990868..0.76266664]	[0.34305847..0.72142524]	[0.31335458..0.76266664]
						PS 18:1/23:1	[0.38965678..0.6758385]	[0.3133606..0.69184965]	[0.37994698..0.76262856]	[0.34309778..0.7213938]	[0.3133606..0.76262856]
						PS 23:1/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
