Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PS 20:3 (5z-11z)/16:0	[0.0..0.0016486907]	[0.0013272959..0.0016703882]	[0.0..8.167819E-4]	[0.0..0.0]	[0.0..0.0016703882]	
						PS 18:0/18:3 (6z-9z)	[0.028363554..0.03280835]	[0.028237857..0.031419996]	[0.025627911..0.02677043]	[0.02714463..0.029623827]	[0.025627911..0.03280835]	
						PS 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:2/18:1	[0.097039975..0.11553541]	[0.10164411..0.11341914]	[0.09428982..0.10673832]	[0.094891995..0.11111073]	[0.09428982..0.11553541]	
						PS 18:1/18:2	[0.13387266..0.15716018]	[0.14190412..0.15624873]	[0.12987515..0.14671756]	[0.13576132..0.15692417]	[0.12987515..0.15716018]	
PS 36:4:0	0.18861884	0.17455348	0.19968823	0.22101359	[0.17455348..0.22101359]	Sum	[0.18695088..0.23961736]	[0.17010786..0.24929935]	[0.18792678..0.23112467]	[0.18056178..0.24698251]	[0.17010786..0.24929935]	
						PS 20:3 (5z-11z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:1/20:3 (5z-11z)	[0.009780905..0.013708035]	[0.009392011..0.01420579]	[0.010635808..0.013899463]	[0.009668771..0.014964125]	[0.009392011..0.014964125]	
						PS 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:0/20:4 (5z-8z)	[0.17346102..0.22294514]	[0.15757562..0.23263517]	[0.17393658..0.21509057]	[0.16764316..0.23014463]	[0.15757562..0.23263517]	
						PS 18:2/18:2	[0.0022603336..0.0037089458]	[0.002458375..0.002849499]	[0.0021346337..0.0033543932]	[0.0023296673..0.0032498608]	[0.0021346337..0.0037089458]	
PS 37:0:0	0.16477211	0.1496373	0.15949667	0.14588487	[0.14588487..0.16477211]	Sum	[0.07444187..0.09558157]	[0.067054436..0.09490187]	[0.061677326..0.077240184]	[0.06084735..0.08669528]	[0.06084735..0.09558157]	
						PS 19:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:0	[0.07444187..0.09558157]	[0.067054436..0.09490187]	[0.061677326..0.077240184]	[0.06084735..0.08669528]	[0.06084735..0.09558157]	
PS 37:1:0	0.8808644	0.9028388	0.86858964	0.9155121	[0.86858964..0.9155121]	Sum	[0.8412906..0.9767708]	[0.83026034..0.96395534]	[0.82243544..0.84703463]	[0.8495986..0.9531957]	[0.82243544..0.9767708]	
						PS 17:0/20:1	[0.05595944..0.0646672]	[0.054762173..0.06782837]	[0.052349385..0.06292693]	[0.053478815..0.06625753]	[0.052349385..0.06782837]	
						PS 20:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:0/18:1	[0.1763322..0.25151843]	[0.16979833..0.24951486]	[0.1663096..0.23130101]	[0.15435363..0.23854835]	[0.15435363..0.25151843]	
						PS 18:1/19:0	[0.12282684..0.1885398]	[0.12656426..0.20094368]	[0.113218464..0.17186451]	[0.12840335..0.20887432]	[0.113218464..0.20887432]	
						PS 19:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:1	[0.4495219..0.5249436]	[0.42793122..0.50277793]	[0.4224139..0.44621435]	[0.44873396..0.49986345]	[0.4224139..0.5249436]	
PS 37:2:0	0.28594005	0.2604327	0.26847932	0.28626838	[0.2604327..0.28626838]	Sum	[0.27309933..0.32530072]	[0.2718454..0.32228786]	[0.26257485..0.28249514]	[0.26946008..0.31969872]	[0.26257485..0.32530072]	
						PS 20:1/17:1	[0.005761545..0.00799563]	[0.0053249896..0.008009928]	[0.004855688..0.006843406]	[0.005425622..0.0081015555]	[0.004855688..0.0081015555]	
						PS 17:1/20:1	[3.7793268E-4..0.0021271233]	[9.397041E-4..0.002621098]	[9.5134956E-4..0.0028312148]	[7.805015E-4..0.002565041]	[3.7793268E-4..0.0028312148]	
						PS 17:0/20:2	[0.012791773..0.015742324]	[0.012348748..0.016705258]	[0.012018469..0.013863672]	[0.011702934..0.015125591]	[0.011702934..0.016705258]	
						PS 20:2/17:0	[0.0..4.0930047E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..9.98289E-4]	[0.0..9.98289E-4]	
						PS 19:0/18:2	[0.002302204..0.003025373]	[0.0021700037..0.0031379913]	[0.0011874444..0.002920807]	[0.0020355205..0.0032570984]	[0.0011874444..0.0032570984]	
						PS 18:2/19:0	[5.6932884E-4..9.62787E-4]	[7.1651064E-4..0.0014458593]	[5.281003E-4..0.0021791824]	[6.281725E-4..0.0013406742]	[5.281003E-4..0.0021791824]	
						PS 18:1/19:1	[0.106062524..0.15440732]	[0.108504094..0.15017384]	[0.101009734..0.13320124]	[0.10219569..0.14978528]	[0.101009734..0.15440732]	
						PS 19:1/18:1	[0.08773073..0.13271801]	[0.090866596..0.13016754]	[0.08703355..0.11827546]	[0.089695364..0.13533898]	[0.08703355..0.13533898]	
						PS 18:0/19:2	[0.032304786..0.036952123]	[0.030807061..0.03690032]	[0.028963637..0.030823126]	[0.028836627..0.035575964]	[0.028836627..0.036952123]	
						PS 19:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 37:3:0	0.0	0.0	0.025959719	0.027968649	[0.0..0.027968649]	Sum	[0.084172376..0.098283604]	[0.083742954..0.09508476]	[0.08504118..0.09098319]	[0.089564405..0.09811095]	[0.083742954..0.098283604]	
						PS 17:0/20:3 (5z-11z)	[0.012501606..0.015951939]	[0.0138597125..0.016054556]	[0.011638739..0.014023996]	[0.013407637..0.015761163]	[0.011638739..0.016054556]	
						PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0010798477]	[0.0..0.0]	[0.0..0.0010798477]	
						PS 18:2/19:1	[0.0012239149..0.0015583088]	[0.0010173561..0.0017711889]	[9.029581E-4..0.0013141198]	[9.611087E-4..0.001654253]	[9.029581E-4..0.0017711889]	
						PS 19:1/18:2	[7.352139E-4..0.001024706]	[7.3371537E-4..0.0014592328]	[8.032449E-4..0.0011885224]	[6.768659E-4..0.0013105442]	[6.768659E-4..0.0014592328]	
						PS 18:1/19:2	[0.03395444..0.04046923]	[0.032396153..0.038139924]	[0.03554773..0.04105831]	[0.036430325..0.042230196]	[0.032396153..0.042230196]	
						PS 19:2/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:3 (6z-9z)	[0.034398843..0.03996562]	[0.034242436..0.03982982]	[0.033187065..0.036046915]	[0.032159153..0.038008794]	[0.032159153..0.03996562]	
						PS 19:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 37:4:0	0.06397925	0.05415792	0.05810342	0.06432706	[0.05415792..0.06432706]	Sum	[0.053661987..0.07298279]	[0.050214086..0.071674034]	[0.054714076..0.068309985]	[0.05267237..0.07603309]	[0.050214086..0.07603309]	
						PS 17:1/20:3 (5z-11z)	[0.0036218234..0.005555628]	[0.0041846256..0.006041868]	[0.00435344..0.0059792143]	[0.0042423457..0.0058049182]	[0.0036218234..0.006041868]	
						PS 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 17:0/20:4 (5z-8z)	[0.050040163..0.06755951]	[0.04595419..0.065632164]	[0.05025477..0.06233077]	[0.048430026..0.07031229]	[0.04595419..0.07031229]	
						PS 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:1:0	7.0890055	7.1408153	7.0536137	7.131791	[7.0536137..7.1408153]	Sum	[7.380931..9.0024805]	[7.1816716..9.035773]	[7.0627375..8.143153]	[7.0419803..8.613828]	[7.0419803..9.035773]	
						PS 20:0/18:1	[0.692899..1.0692335]	[0.80512524..1.0666324]	[0.78530884..0.9423326]	[0.69684064..1.0975453]	[0.692899..1.0975453]	
						PS 18:1/20:0	[0.079949886..0.28809577]	[0.09201431..0.18878448]	[0.047730926..0.12736914]	[8.7542797E-4..0.22412336]	[8.7542797E-4..0.28809577]	
						PS 20:1/18:0	[0.0..0.23285064]	[0.0..0.0]	[0.0..0.014221704]	[0.0..0.26076838]	[0.0..0.26076838]	
						PS 18:0/20:1	[6.3218117..7.761688]	[6.216998..7.855634]	[6.119275..7.1255255]	[6.08442..7.4505253]	[6.08442..7.855634]	
PS 38:2:0	4.2010875	4.223499	4.183767	4.2330217	[4.183767..4.2330217]	Sum	[4.4294305..5.1395817]	[4.5362234..5.116758]	[4.2625284..4.72769]	[4.304218..5.1057634]	[4.2625284..5.1395817]	
						PS 18:1/20:1	[1.1521151..1.3975327]	[1.2588602..1.5279068]	[1.1280736..1.2620467]	[1.1458921..1.4538769]	[1.1280736..1.5279068]	
						PS 20:1/18:1	[1.1758212..1.4252616]	[1.0751213..1.3284975]	[1.1396792..1.274444]	[1.0940204..1.394203]	[1.0751213..1.4252616]	
						PS 20:2/18:0	[0.0..0.01393132]	[0.0..0.0]	[0.0..0.0]	[0.0..0.06108825]	[0.0..0.06108825]	
						PS 18:0/20:2	[2.0794678..2.358329]	[2.1117992..2.398526]	[1.9616408..2.1879303]	[1.9896591..2.349548]	[1.9616408..2.398526]	
PS 38:3:0	2.9062147	2.950339	2.8371165	3.0151076	[2.8371165..3.0151076]	Sum	[2.5885584..3.7234797]	[2.8320394..3.603208]	[2.638924..3.0516293]	[2.7897868..3.3772256]	[2.5885584..3.7234797]	
						PS 18:1/20:2	[0.27937317..0.40788898]	[0.2767927..0.4096014]	[0.32318342..0.37703508]	[0.30668193..0.38136604]	[0.2767927..0.4096014]	
						PS 20:2/18:1	[0.16380343..0.25764674]	[0.15892635..0.2606554]	[0.15828353..0.19973558]	[0.2014583..0.25876206]	[0.15828353..0.2606554]	
						PS 18:0/20:3 (5z-11z)	[2.1109974..3.1026442]	[2.2716892..2.9056056]	[2.1246762..2.5044086]	[2.2499297..2.8322935]	[2.1109974..3.1026442]	
						PS 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.087168165]	[0.0..0.0]	[0.0..0.0]	[0.0..0.087168165]	
PS 38:4:0	9.371914	9.496334	10.004504	10.138214	[9.371914..10.138214]	Sum	[9.532357..12.624595]	[8.792902..11.963863]	[9.508047..11.862289]	[9.337592..11.90762]	[8.792902..12.624595]	
						PS 18:1/20:3 (5z-11z)	[1.2665007..2.0899034]	[1.1458051..1.9273807]	[1.4884999..1.8873739]	[1.3175318..1.9329561]	[1.1458051..2.0899034]	
						PS 20:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/20:4 (5z-8z)	[8.2359495..10.537605]	[7.647097..10.058427]	[8.0195465..9.9749155]	[7.9895835..9.98155]	[7.647097..10.537605]	
						PS 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:5:0	1.0066932	0.9714661	1.0425302	1.143419	[0.9714661..1.143419]	Sum	[1.2719784..1.5728672]	[1.1791172..1.5510703]	[1.2952358..1.4865243]	[1.2652818..1.6244358]	[1.1791172..1.6244358]	
						PS 16:0/22:5 (4z-7z)	[0.22996224..0.2869171]	[0.24378237..0.2829115]	[0.22406761..0.29446837]	[0.22108129..0.26645908]	[0.22108129..0.29446837]	
						PS 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:1/20:4 (5z-8z)	[0.9850612..1.2912672]	[0.9103215..1.2681588]	[1.0129414..1.2460755]	[0.99882275..1.3593591]	[0.9103215..1.3593591]	
						PS 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:6:0	0.25176606	0.2717924	0.27065802	0.30864578	[0.25176606..0.30864578]	Sum	[0.26961315..0.34101522]	[0.2931462..0.3249815]	[0.26679832..0.33399746]	[0.27997446..0.33452794]	[0.26679832..0.34101522]	
						PS 16:0/22:6 (4z)	[0.25684488..0.32889462]	[0.27913702..0.31352758]	[0.2530229..0.32212695]	[0.26593167..0.31997356]	[0.2530229..0.32889462]	
						PS 22:6 (4z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 20:4 (5z-8z)/18:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:2/20:4 (5z-8z)	[0.011910915..0.013981823]	[0.011256226..0.015350631]	[0.011870533..0.013775393]	[0.012124564..0.015253622]	[0.011256226..0.015350631]	
PS 39:0:0	0.0	-2.9032872E-6	-2.2486713E-6	0.0	[-2.9032872E-6..0.0]	Sum	[0.23597386..0.3344661]	[0.19810925..0.30875742]	[0.21433759..0.29883558]	[0.204187..0.3154336]	[0.19810925..0.3344661]	
						PS 21:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:0	[0.23597386..0.3344661]	[0.19810925..0.30875742]	[0.21433759..0.29883558]	[0.204187..0.3154336]	[0.19810925..0.3344661]	
PS 39:1:0	0.2491307	0.3025437	0.2848254	0.28870606	[0.2491307..0.3025437]	Sum	[0.42339104..0.53049666]	[0.4722816..0.53556126]	[0.41573673..0.526559]	[0.45314193..0.6118346]	[0.41573673..0.6118346]	
						PS 23:0/16:1	[0.0..0.0018305943]	[0.001220729..0.0027558678]	[0.0..0.0014938154]	[0.0..0.001986816]	[0.0..0.0027558678]	
						PS 16:1/23:0	[0.0..0.0018305943]	[0.0..0.0014330512]	[0.0..0.0014938154]	[0.0..0.001986816]	[0.0..0.001986816]	
						PS 22:0/17:1	[0.0..0.003553763]	[0.0034991214..0.005962663]	[0.0026299022..0.0030935123]	[0.0..0.004458252]	[0.0..0.005962663]	
						PS 17:1/22:0	[0.0..0.003553763]	[1.4445915E-4..0.00212033]	[0.0..0.0]	[0.002317789..0.008135497]	[0.0..0.008135497]	
						PS 21:0/18:1	[0.04543493..0.15214522]	[0.038405884..0.14583257]	[0.041681014..0.14554602]	[0.03876033..0.14653987]	[0.038405884..0.15214522]	
						PS 18:1/21:0	[0.13358857..0.2704804]	[0.14668915..0.27740595]	[0.123653665..0.25611103]	[0.13063668..0.27048552]	[0.123653665..0.27740595]	
						PS 18:0/21:1	[0.14097431..0.17371841]	[0.16170993..0.17706853]	[0.14724456..0.17860776]	[0.1744611..0.25306487]	[0.14097431..0.25306487]	
						PS 21:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 20:0/19:1	[0.0..0.003091132]	[0.0020245847..0.0035536312]	[0.0..0.0030350534]	[0.0..0.0019145977]	[0.0..0.0035536312]	
						PS 19:1/20:0	[0.0..0.003091132]	[0.0..0.0]	[0.0..0.0030350534]	[0.0..0.0019145977]	[0.0..0.003091132]	
						PS 20:1/19:0	[0.0034952569..0.011520697]	[0.006406062..0.010742493]	[0.004989016..0.0070677786]	[0.0064390767..0.015188629]	[0.0034952569..0.015188629]	
						PS 19:0/20:1	[0.015655838..0.027779484]	[0.017974816..0.02446723]	[0.020796606..0.024752392]	[0.014729389..0.025595028]	[0.014729389..0.027779484]	
PS 39:2:0	0.17471135	0.08823653	0.14222212	0.14437194	[0.08823653..0.17471135]	Sum	[0.34877262..0.42614836]	[0.31471565..0.4287625]	[0.37129492..0.4213341]	[0.38591328..0.473511]	[0.31471565..0.473511]	
						PS 18:1/21:1	[0.14644404..0.18089716]	[0.1398954..0.17925622]	[0.16216157..0.16619563]	[0.16759306..0.20155917]	[0.1398954..0.20155917]	
						PS 21:1/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:2	[0.17094356..0.22116207]	[0.15112385..0.22700493]	[0.18872933..0.23649321]	[0.17663886..0.24594374]	[0.15112385..0.24594374]	
						PS 21:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:1/20:1	[0.014019882..0.015879037]	[0.013455807..0.01988277]	[0.008036085..0.015833516]	[0.008769442..0.019261574]	[0.008036085..0.01988277]	
						PS 20:1/19:1	[0.008551646..0.010290601]	[0.0038027284..0.009618381]	[0.0041765273..0.011609884]	[0.0052575096..0.0149038695]	[0.0038027284..0.0149038695]	
PS 39:3:0	0.18382679	0.16766705	0.17049572	0.18399929	[0.16766705..0.18399929]	Sum	[1.7858425..2.5744705]	[1.6362021..2.4522552]	[1.8641547..2.5422013]	[1.8797209..2.6199126]	[1.6362021..2.6199126]	
						PS 18:0/21:3 (5z-11z)	[1.7858425..2.5744705]	[1.6362021..2.4522552]	[1.8641547..2.5422013]	[1.8797209..2.6199126]	[1.6362021..2.6199126]	
						PS 21:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 39:4:0	0.123921305	0.150621	0.13187955	0.13220586	[0.123921305..0.150621]	Sum	[0.49064267..0.62181723]	[0.43967694..0.5783309]	[0.5330097..0.6021373]	[0.49489388..0.6263921]	[0.43967694..0.6263921]	
						PS 17:0/22:4 (7z-10z)	[0.04164708..0.05619329]	[0.04958945..0.0573677]	[0.051190913..0.05392126]	[0.048949342..0.059861332]	[0.04164708..0.059861332]	
						PS 22:4 (7z-10z)/17:0	[0.0..0.00820422]	[0.0..0.0020078695]	[0.0..1.0784253E-4]	[0.0..0.0]	[0.0..0.00820422]	
						PS 18:1/21:3 (5z-11z)	[0.34119985..0.4260193]	[0.2961651..0.38819912]	[0.3795026..0.42598405]	[0.34557906..0.4431305]	[0.2961651..0.4431305]	
						PS 21:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:4 (5z-8z)	[0.06856088..0.09547745]	[0.07071292..0.089914724]	[0.076924525..0.08753931]	[0.066396244..0.08936371]	[0.066396244..0.09547745]	
						PS 21:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:0/20:4 (5z-8z)	[0.01725633..0.028267847]	[0.019970285..0.033908855]	[0.019756922..0.030706815]	[0.015843395..0.0324917]	[0.015843395..0.033908855]	
						PS 20:4 (5z-8z)/19:0	[0.0024965438..0.011537262]	[0.0016152435..0.011482364]	[0.0023077887..0.009968009]	[2.2119923E-4..0.013985842]	[2.2119923E-4..0.013985842]	
PS 39:5:0	0.034963954	0.0	0.04536668	0.051872294	[0.0..0.051872294]	Sum	[0.044210855..0.053341247]	[0.044763543..0.052156232]	[0.0419927..0.048397858]	[0.045117576..0.052803688]	[0.0419927..0.053341247]	
						PS 17:1/22:4 (7z-10z)	[8.425253E-4..0.0013377479]	[6.917147E-4..8.9875696E-4]	[6.93286E-4..0.0012709005]	[4.785136E-4..0.001264616]	[4.785136E-4..0.0013377479]	
						PS 22:4 (7z-10z)/17:1	[0.0011295167..0.001754863]	[0.0015176765..0.0018784831]	[0.001009374..0.0016368027]	[0.0011021687..0.0019412102]	[0.001009374..0.0019412102]	
						PS 17:0/22:5 (4z-7z)	[0.029803662..0.036383737]	[0.029827278..0.03575324]	[0.027638238..0.036016256]	[0.030801013..0.036498494]	[0.027638238..0.036498494]	
						PS 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:1/20:4 (5z-8z)	[0.0105396155..0.014182136]	[0.009116064..0.013848878]	[0.010029307..0.012902915]	[0.01047217..0.013156369]	[0.009116064..0.014182136]	
						PS 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 39:6:0	0.053600244	0.047482237	0.0	0.0	[0.0..0.053600244]	Sum	[0.03918881..0.053652737]	[0.042547476..0.04915979]	[0.038902424..0.05068779]	[0.03954561..0.052525513]	[0.038902424..0.053652737]	
						PS 17:0/22:6 (4z)	[0.03918881..0.053652737]	[0.042547476..0.04915979]	[0.038902424..0.05068779]	[0.03954561..0.052525513]	[0.038902424..0.053652737]	
						PS 22:6 (4z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 40:1:0	1.2384772	1.3550258	1.2819922	1.3457035	[1.2384772..1.3550258]	Sum	[1.9733013..2.3721268]	[1.9121991..2.3926353]	[1.9747992..2.0895717]	[2.1664443..2.4476836]	[1.9121991..2.4476836]	
						PS 22:0/18:1	[0.9776064..1.3293586]	[0.9752032..1.3230369]	[1.0371729..1.1727982]	[0.9661097..1.223683]	[0.9661097..1.3293586]	
