Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PS 17:0/20:3 (5z-11z)	[0.0054958886..0.0064130756]	[0.0058961613..0.00684754]	[0.005094291..0.0060793366]	[0.0059997994..0.006560094]	[0.005094291..0.00684754]	
						PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..4.6810892E-4]	[0.0..0.0]	[0.0..4.6810892E-4]	
						PS 18:2/19:1	[5.14872E-4..6.830245E-4]	[4.1565526E-4..7.525283E-4]	[3.9115635E-4..5.611045E-4]	[4.173183E-4..6.668598E-4]	[3.9115635E-4..7.525283E-4]	
						PS 19:1/18:2	[3.0928708E-4..4.4914035E-4]	[2.997698E-4..6.199869E-4]	[3.4796118E-4..5.074768E-4]	[2.9389863E-4..5.283045E-4]	[2.9389863E-4..6.199869E-4]	
						PS 18:1/19:2	[0.014882618..0.0165548]	[0.014134677..0.015582607]	[0.015760552..0.017720457]	[0.016248869..0.017804466]	[0.014134677..0.017804466]	
						PS 19:2/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:3 (6z-9z)	[0.014470778..0.01606717]	[0.01481625..0.016922569]	[0.014323287..0.015887046]	[0.013963669..0.016714515]	[0.013963669..0.016922569]	
						PS 19:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 37:4:0	0.031587474	0.026678251	0.028636117	0.031410977	[0.026678251..0.031587474]	Sum	[0.022631811..0.029412284]	[0.021722145..0.030443992]	[0.023627559..0.030261468]	[0.0228731..0.031705]	[0.021722145..0.031705]	
						PS 17:1/20:3 (5z-11z)	[0.0015275662..0.002435095]	[0.0018106321..0.0025670195]	[0.0018871959..0.002650963]	[0.0018428419..0.0025891438]	[0.0015275662..0.002650963]	
						PS 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 17:0/20:4 (5z-8z)	[0.021105299..0.0271606]	[0.019916337..0.027885258]	[0.02168958..0.027635165]	[0.021037623..0.029124424]	[0.019916337..0.029124424]	
						PS 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:1:0	3.4999435	3.5175734	3.4763548	3.4824615	[3.4763548..3.5175734]	Sum	[3.1627507..3.6245801]	[3.132414..3.692452]	[3.0588632..3.4921653]	[3.0579963..3.482943]	[3.0579963..3.692452]	
						PS 20:0/18:1	[0.30460852..0.42985845]	[0.34836704..0.43588635]	[0.3494409..0.40235835]	[0.30257174..0.44244066]	[0.30257174..0.44244066]	
						PS 18:1/20:0	[0.035147138..0.11582165]	[0.039813373..0.07714802]	[0.021238955..0.05438424]	[3.801153E-4..0.09034825]	[3.801153E-4..0.11582165]	
						PS 20:1/18:0	[0.0..0.09361174]	[0.0..0.0]	[0.0..0.0060724006]	[0.0..0.10512053]	[0.0..0.10512053]	
						PS 18:0/20:1	[2.721721..3.1203914]	[2.712521..3.2095306]	[2.652677..3.0532782]	[2.6418862..3.0034437]	[2.6418862..3.2095306]	
PS 38:2:0	2.074137	2.0805001	2.0619586	2.0669892	[2.0619586..2.0805001]	Sum	[1.9413959..2.0724514]	[1.978555..2.0909536]	[1.8182578..2.0415912]	[1.8691165..2.064481]	[1.8182578..2.0909536]	
						PS 18:1/20:1	[0.50648665..0.56184286]	[0.54469216..0.6243892]	[0.48337802..0.54709136]	[0.49894503..0.5860845]	[0.48337802..0.6243892]	
						PS 20:1/18:1	[0.51690817..0.57299054]	[0.46519074..0.54289925]	[0.48835102..0.55246556]	[0.47635907..0.5620288]	[0.46519074..0.57299054]	
						PS 20:2/18:0	[0.0..0.0058617885]	[0.0..0.0]	[0.0..0.0]	[0.0..0.024625795]	[0.0..0.024625795]	
						PS 18:0/20:2	[0.9114544..0.99209315]	[0.9213934..0.97995174]	[0.83758384..0.94429433]	[0.86392015..0.947146]	[0.83758384..0.99209315]	
PS 38:3:0	1.4348398	1.4533403	1.3982654	1.4722804	[1.3982654..1.4722804]	Sum	[1.1376939..1.4967164]	[1.2074949..1.4718654]	[1.1749634..1.3017272]	[1.2483494..1.454182]	[1.1376939..1.4967164]	
						PS 18:1/20:2	[0.12281653..0.1639815]	[0.11976453..0.16738631]	[0.14380777..0.16098692]	[0.13316286..0.15373567]	[0.11976453..0.16738631]	
						PS 20:2/18:1	[0.07201038..0.10358039]	[0.06876533..0.10651855]	[0.070431836..0.085283354]	[0.08747422..0.10431175]	[0.06876533..0.10651855]	
						PS 18:0/20:3 (5z-11z)	[0.9280253..1.24734]	[0.96641594..1.187395]	[0.9454227..1.0775721]	[1.0068237..1.230326]	[0.9280253..1.24734]	
						PS 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.035621844]	[0.0..0.0]	[0.0..0.0]	[0.0..0.035621844]	
PS 38:4:0	4.627048	4.677904	4.9306936	4.950501	[4.627048..4.950501]	Sum	[4.0085225..5.0746717]	[3.8037279..5.0817256]	[4.105926..5.2550187]	[4.0529194..5.0234194]	[3.8037279..5.2550187]	
						PS 18:1/20:3 (5z-11z)	[0.5341684..0.8414684]	[0.49577472..0.8188898]	[0.64242536..0.83761287]	[0.5723255..0.7814333]	[0.49577472..0.8414684]	
						PS 20:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/20:4 (5z-8z)	[3.4646685..4.247416]	[3.3087976..4.2642183]	[3.4611757..4.4225097]	[3.469118..4.2475634]	[3.3087976..4.4225097]	
						PS 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:5:0	0.49701893	0.47854525	0.51380825	0.5583328	[0.47854525..0.5583328]	Sum	[0.53488916..0.63224083]	[0.51007515..0.64217484]	[0.5593306..0.6585334]	[0.54918706..0.6545663]	[0.51007515..0.6585334]	
						PS 16:0/22:5 (4z-7z)	[0.10109476..0.12069922]	[0.10370924..0.11743003]	[0.09970395..0.12765066]	[0.09893193..0.11569789]	[0.09893193..0.12765066]	
						PS 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:1/20:4 (5z-8z)	[0.41439193..0.5191214]	[0.39388403..0.530497]	[0.4371779..0.5524639]	[0.43369392..0.54798263]	[0.39388403..0.5524639]	
						PS 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 38:6:0	0.12430052	0.13388525	0.1333931	0.15071207	[0.12430052..0.15071207]	Sum	[0.11817002..0.14340286]	[0.12451566..0.14058398]	[0.11819222..0.14423244]	[0.124842115..0.1439985]	[0.11817002..0.14423244]	
						PS 16:0/22:6 (4z)	[0.11257804..0.13835816]	[0.118597455..0.13565925]	[0.11218103..0.13902757]	[0.11861241..0.1386897]	[0.11218103..0.13902757]	
						PS 22:6 (4z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 20:4 (5z-8z)/18:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:2/20:4 (5z-8z)	[0.005023633..0.00562104]	[0.004911173..0.006273137]	[0.005123233..0.006107501]	[0.0052668154..0.0062634526]	[0.004911173..0.006273137]	
PS 39:0:0	0.0	-1.4301623E-6	-1.1082518E-6	0.0	[-1.4301623E-6..0.0]	Sum	[0.09952138..0.13445821]	[0.08610993..0.13135248]	[0.092829354..0.13305457]	[0.08866868..0.14114746]	[0.08610993..0.14114746]	
						PS 21:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:0	[0.09952603..0.13446368]	[0.08612905..0.13135076]	[0.09291434..0.13297363]	[0.08869723..0.14115375]	[0.08612905..0.14115375]	
PS 39:1:0	0.122999385	0.14903335	0.14037547	0.14097549	[0.122999385..0.14903335]	Sum	[0.18608403..0.21755749]	[0.20060456..0.23167881]	[0.18454224..0.22738765]	[0.20205842..0.26556268]	[0.18454224..0.26556268]	
						PS 23:0/16:1	[0.0..8.023703E-4]	[5.166804E-4..0.0011708905]	[0.0..6.6230266E-4]	[0.0..8.861714E-4]	[0.0..0.0011708905]	
						PS 16:1/23:0	[0.0..8.023703E-4]	[0.0..6.088631E-4]	[0.0..6.6230266E-4]	[0.0..8.861714E-4]	[0.0..8.861714E-4]	
						PS 22:0/17:1	[0.0..0.001428701]	[0.0014296157..0.0026015528]	[0.0011674995..0.0013255659]	[0.0..0.0017972033]	[0.0..0.0026015528]	
						PS 17:1/22:0	[0.0..0.001428701]	[5.902083E-5..9.2511537E-4]	[0.0..0.0]	[0.0010063958..0.0032795682]	[0.0..0.0032795682]	
						PS 21:0/18:1	[0.01997386..0.06416986]	[0.016338527..0.0636278]	[0.01854691..0.06309352]	[0.017344907..0.06365577]	[0.016338527..0.06416986]	
						PS 18:1/21:0	[0.05872749..0.11407975]	[0.0624041..0.12103423]	[0.055022493..0.11102293]	[0.058458757..0.11749679]	[0.055022493..0.12103423]	
						PS 18:0/21:1	[0.061790645..0.06994513]	[0.06870599..0.07452932]	[0.0652828..0.07708577]	[0.07781417..0.10988205]	[0.061790645..0.10988205]	
						PS 21:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 20:0/19:1	[0.0..0.0012427118]	[8.7601104E-4..0.0014522149]	[0.0..0.0013456307]	[0.0..8.539601E-4]	[0.0..0.0014522149]	
						PS 19:1/20:0	[0.0..0.0012427118]	[0.0..0.0]	[0.0..0.0013456307]	[0.0..8.539601E-4]	[0.0..0.0013456307]	
						PS 20:1/19:0	[0.0015365661..0.004631606]	[0.002771818..0.004389991]	[0.0021906516..0.003063849]	[0.00288143..0.006122815]	[0.0015365661..0.006122815]	
						PS 19:0/20:1	[0.006882535..0.011168043]	[0.0077774646..0.009998695]	[0.009131683..0.010730046]	[0.0065912716..0.010317826]	[0.0065912716..0.011168043]	
PS 39:2:0	0.086257495	0.04346541	0.070093796	0.070496984	[0.04346541..0.086257495]	Sum	[0.14709398..0.17157592]	[0.13726886..0.17573579]	[0.16080737..0.18759622]	[0.16758375..0.191461]	[0.13726886..0.191461]	
						PS 18:1/21:1	[0.064188085..0.07283554]	[0.061037373..0.07323767]	[0.06973965..0.0739525]	[0.07475085..0.08350888]	[0.061037373..0.08350888]	
						PS 21:1/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:2	[0.07209838..0.094953254]	[0.06593643..0.09448683]	[0.08181328..0.105233]	[0.076730534..0.09942731]	[0.06593643..0.105233]	
						PS 21:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:1/20:1	[0.0056448965..0.0069599627]	[0.005497561..0.008591648]	[0.0035758377..0.006863755]	[0.0039242483..0.0077646947]	[0.0035758377..0.008591648]	
						PS 20:1/19:1	[0.0034431927..0.0045104874]	[0.0015536585..0.004156249]	[0.0018584402..0.0050328304]	[0.0023526894..0.0060080234]	[0.0015536585..0.0060080234]	
PS 39:3:0	0.090757914	0.08259297	0.08402836	0.08984705	[0.08259297..0.090757914]	Sum	[0.75317466..1.0378959]	[0.71365875..1.0432457]	[0.80736315..1.1318984]	[0.81627315..1.0945818]	[0.71365875..1.1318984]	
						PS 18:0/21:3 (5z-11z)	[0.75320977..1.0381461]	[0.7138868..1.0432318]	[0.80810237..1.13121]	[0.81653607..1.0946306]	[0.7138868..1.13121]	
						PS 21:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 39:4:0	0.061181724	0.07419606	0.06499649	0.06455626	[0.061181724..0.07419606]	Sum	[0.2063238..0.24995008]	[0.19020015..0.2388685]	[0.23017327..0.26262468]	[0.21480538..0.25283968]	[0.19020015..0.26262468]	
						PS 17:0/22:4 (7z-10z)	[0.018308666..0.023476906]	[0.0214567..0.024373919]	[0.022441186..0.023449166]	[0.0219044..0.025975913]	[0.018308666..0.025975913]	
						PS 22:4 (7z-10z)/17:0	[0.0..0.003427628]	[0.0..8.5308723E-4]	[0.0..4.6898334E-5]	[0.0..0.0]	[0.0..0.003427628]	
						PS 18:1/21:3 (5z-11z)	[0.14390689..0.17153032]	[0.12814671..0.15980949]	[0.16379046..0.18340309]	[0.15011683..0.1791437]	[0.12814671..0.18340309]	
						PS 21:3 (5z-11z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/21:4 (5z-8z)	[0.028916731..0.03872968]	[0.030852558..0.038251277]	[0.033346422..0.038952593]	[0.028842006..0.03998947]	[0.028842006..0.03998947]	
						PS 21:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:0/20:4 (5z-8z)	[0.0074999845..0.011922451]	[0.008547099..0.013857077]	[0.008526939..0.013111235]	[0.0066927243..0.014492139]	[0.0066927243..0.014492139]	
						PS 20:4 (5z-8z)/19:0	[0.0010850533..0.0048660384]	[6.913095E-4..0.0046923435]	[9.960243E-4..0.0042561535]	[9.344119E-5..0.0062380475]	[9.344119E-5..0.0062380475]	
PS 39:5:0	0.017262205	0.0	0.02235885	0.0253293	[0.0..0.0253293]	Sum	[0.019276604..0.021441426]	[0.019203898..0.021305168]	[0.018598389..0.020961054]	[0.020048283..0.021277241]	[0.018598389..0.021441426]	
						PS 17:1/22:4 (7z-10z)	[3.703864E-4..5.378079E-4]	[2.992958E-4..3.8185655E-4]	[3.0459274E-4..5.509294E-4]	[2.0171751E-4..5.640515E-4]	[2.0171751E-4..5.640515E-4]	
						PS 22:4 (7z-10z)/17:1	[4.965521E-4..7.054985E-4]	[6.566786E-4..7.981145E-4]	[4.4346484E-4..7.0954626E-4]	[4.6461946E-4..8.6583005E-4]	[4.4346484E-4..8.6583005E-4]	
						PS 17:0/22:5 (4z-7z)	[0.013062739..0.01490565]	[0.01268904..0.014610796]	[0.012199735..0.015517851]	[0.013642639..0.014730073]	[0.012199735..0.015517851]	
						PS 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:1/20:4 (5z-8z)	[0.0044337665..0.005701571]	[0.0039443998..0.0056594354]	[0.0043476573..0.0057206764]	[0.004549029..0.00580608]	[0.0039443998..0.00580608]	
						PS 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
