Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 33:0:0	0.040768947	0.043318197	0.044296753	0.04862791	[0.040768947..0.04862791]	Sum	[0.0549914..0.0549914]	[0.05759213..0.05759213]	[0.059050433..0.059050433]	[0.057099603..0.057099603]	[0.0549914..0.059050433]
						PG 15:0-18:0	[0.0056554..0.0056554]	[0.0060833544..0.0060833544]	[0.007161902..0.007161902]	[0.0058854753..0.0058854753]	[0.0056554..0.007161902]
						PG 16:0-17:0	[0.049336005..0.049336005]	[0.05150878..0.05150878]	[0.05188853..0.05188853]	[0.05121413..0.05121413]	[0.049336005..0.05188853]
PG 33:1:0	0.4197953	0.39864528	0.4018918	0.38742524	[0.38742524..0.4197953]	Sum	[0.52874196..0.52874196]	[0.54508936..0.54508936]	[0.55952823..0.55952823]	[0.58820397..0.58820397]	[0.52874196..0.58820397]
						PG 15:0-18:1	[0.29158524..0.29158524]	[0.30252838..0.30252838]	[0.31090385..0.31090385]	[0.32198817..0.32198817]	[0.29158524..0.32198817]
						PG 16:1-17:0	[0.014252312..0.014252312]	[0.014523095..0.014523095]	[0.014818756..0.014818756]	[0.015599548..0.015599548]	[0.014252312..0.015599548]
						PG 16:0-17:1	[0.22290441..0.22290441]	[0.22803785..0.22803785]	[0.23380566..0.23380566]	[0.25061622..0.25061622]	[0.22290441..0.25061622]
PG 33:2:0	0.14857844	0.16839658	0.15734375	0.18515237	[0.14857844..0.18515237]	Sum	[0.34134996..0.34134996]	[0.3600662..0.3600662]	[0.36568555..0.36568555]	[0.376598..0.376598]	[0.34134996..0.376598]
						PG 15:1-18:1	[0.09121689..0.09121689]	[0.094974026..0.094974026]	[0.09690929..0.09690929]	[0.101767614..0.101767614]	[0.09121689..0.101767614]
						PG 15:0-18:2	[0.2244682..0.2244682]	[0.23542067..0.23542067]	[0.23732513..0.23732513]	[0.24484669..0.24484669]	[0.2244682..0.24484669]
						PG 16:1-17:1	[0.008290988..0.008290988]	[0.00961395..0.00961395]	[0.00859567..0.00859567]	[0.00929706..0.00929706]	[0.008290988..0.00961395]
						PG 16:0-17:2	[0.017373886..0.017373886]	[0.020057552..0.020057552]	[0.022855433..0.022855433]	[0.020686617..0.020686617]	[0.017373886..0.022855433]
PG 34:2:0	46.056747	45.818863	45.78832	45.941406	[45.78832..46.056747]	Sum	[43.691166..43.691166]	[43.3496..43.3496]	[42.298595..42.298595]	[47.529736..47.529736]	[42.298595..47.529736]
						PG 16:1-18:1	[2.447005..2.447005]	[2.4886737..2.4886737]	[2.4417222..2.4417222]	[2.8849225..2.8849225]	[2.4417222..2.8849225]
						PG 16:0-18:2	[41.244164..41.244164]	[40.860928..40.860928]	[39.856873..39.856873]	[44.644814..44.644814]	[39.856873..44.644814]
PG 34:3:0	1.495104	1.5680608	1.5142463	1.5483834	[1.495104..1.5680608]	Sum	[1.2995495..1.2995495]	[1.3481342..1.3481342]	[1.365133..1.365133]	[1.3620696..1.3620696]	[1.2995495..1.365133]
						PG 16:2-18:1	[0.031698458..0.031698458]	[0.038122367..0.038122367]	[0.035840154..0.035840154]	[0.036608886..0.036608886]	[0.031698458..0.038122367]
						PG 16:1-18:2	[0.792617..0.792617]	[0.81834996..0.81834996]	[0.82156205..0.82156205]	[0.829475..0.829475]	[0.792617..0.829475]
						PG 16:0-18:3 (0z-9z)	[0.47523394..0.47523394]	[0.49166173..0.49166173]	[0.50773084..0.50773084]	[0.4959857..0.4959857]	[0.47523394..0.50773084]
PG 34:4:0	0.07629584	0.06558773	0.059720688	0.080181524	[0.059720688..0.080181524]	Sum	[0.05005482..0.05005482]	[0.051400065..0.051400065]	[0.05444732..0.05444732]	[0.054214645..0.054214645]	[0.05005482..0.05444732]
						PG 14:0-20:4 (0z-8z)	[0.009969869..0.009969869]	[0.009756916..0.009756916]	[0.010254318..0.010254318]	[0.010734677..0.010734677]	[0.009756916..0.010734677]
						PG 16:3-18:1	[0.010306514..0.010306514]	[0.010770388..0.010770388]	[0.011298004..0.011298004]	[0.011286104..0.011286104]	[0.010306514..0.011298004]
						PG 16:2-18:2	[0.017767264..0.017767264]	[0.018500922..0.018500922]	[0.019329147..0.019329147]	[0.019096257..0.019096257]	[0.017767264..0.019329147]
						PG 16:1-18:3 (0z-9z)	[0.007874605..0.007874605]	[0.0077572446..0.0077572446]	[0.00841218..0.00841218]	[0.008612283..0.008612283]	[0.0077572446..0.008612283]
						PG 16:0-18:4	[0.004136566..0.004136566]	[0.0046145977..0.0046145977]	[0.005153668..0.005153668]	[0.004485322..0.004485322]	[0.004136566..0.005153668]
PG 35:1:0	0.65041614	0.65484434	0.6367793	0.63399225	[0.63399225..0.65484434]	Sum	[0.72672355..0.72672355]	[0.7855611..0.7855611]	[0.7746593..0.7746593]	[0.78401273..0.78401273]	[0.72672355..0.7855611]
						PG 16:0-19:1	[0.17837326..0.17837326]	[0.19394527..0.19394527]	[0.19085984..0.19085984]	[0.19483174..0.19483174]	[0.17837326..0.19483174]
						PG 17:1-18:0	[0.035041347..0.035041347]	[0.043965843..0.043965843]	[0.039821915..0.039821915]	[0.042673256..0.042673256]	[0.035041347..0.043965843]
						PG 17:0-18:1	[0.51330894..0.51330894]	[0.54765..0.54765]	[0.54397756..0.54397756]	[0.5465078..0.5465078]	[0.51330894..0.54765]
PG 35:2:0	0.42719752	0.40598956	0.38779047	0.37579137	[0.37579137..0.42719752]	Sum	[0.52093035..0.52093035]	[0.5343623..0.5343623]	[0.5552283..0.5552283]	[0.5847507..0.5847507]	[0.52093035..0.5847507]
						PG 16:1-19:1	[0.0061174086..0.0061174086]	[0.0054151965..0.0054151965]	[0.0057790345..0.0057790345]	[0.0068330946..0.0068330946]	[0.0054151965..0.0068330946]
						PG 16:0-19:2	[0.02764815..0.02764815]	[0.026771039..0.026771039]	[0.031039879..0.031039879]	[0.029864836..0.029864836]	[0.026771039..0.031039879]
						PG 17:1-18:1	[0.14000954..0.14000954]	[0.14191428..0.14191428]	[0.14606397..0.14606397]	[0.15838724..0.15838724]	[0.14000954..0.15838724]
						PG 17:0-18:2	[0.34715527..0.34715527]	[0.3602618..0.3602618]	[0.37234542..0.37234542]	[0.38966554..0.38966554]	[0.34715527..0.38966554]
PG 35:3:0	0.05910341	0.055182647	0.053576395	0.05084372	[0.05084372..0.05910341]	Sum	[0.11151939..0.11151939]	[0.11879051..0.11879051]	[0.12310504..0.12310504]	[0.12486047..0.12486047]	[0.11151939..0.12486047]
						PG 15:0-20:3 (0z-11z)	[0.004631464..0.004631464]	[0.004798348..0.004798348]	[0.005248593..0.005248593]	[0.005491613..0.005491613]	[0.004631464..0.005491613]
						PG 16:1-19:2	[7.044596E-4..7.044596E-4]	[9.308024E-4..9.308024E-4]	[7.2967E-4..7.2967E-4]	[8.4429746E-4..8.4429746E-4]	[7.044596E-4..9.308024E-4]
						PG 16:0-19:3 (0z-9z)	[0.010447563..0.010447563]	[0.012376928..0.012376928]	[0.013691626..0.013691626]	[0.011941383..0.011941383]	[0.010447563..0.013691626]
						PG 17:2-18:1	[0.011079016..0.011079016]	[0.01201504..0.01201504]	[0.013325661..0.013325661]	[0.012634344..0.012634344]	[0.011079016..0.013325661]
						PG 17:1-18:2	[0.081068575..0.081068575]	[0.08505228..0.08505228]	[0.086193696..0.086193696]	[0.09012591..0.09012591]	[0.081068575..0.09012591]
						PG 17:0-18:3 (0z-9z)	[0.0035883132..0.0035883132]	[0.0036171058..0.0036171058]	[0.003915801..0.003915801]	[0.003822926..0.003822926]	[0.0035883132..0.003915801]
PG 36:2:0	19.696518	19.645945	19.85119	19.651814	[19.645945..19.85119]	Sum	[18.233044..18.233044]	[20.841022..20.841022]	[19.767317..19.767317]	[20.830616..20.830616]	[18.233044..20.841022]
						PG 16:0-20:2	[0.41481718..0.41481718]	[0.47188717..0.47188717]	[0.45065647..0.45065647]	[0.46267083..0.46267083]	[0.41481718..0.47188717]
						PG 18:0-18:2	[13.536498..13.536498]	[15.519791..15.519791]	[14.6273155..14.6273155]	[15.491096..15.491096]	[13.536498..15.519791]
						PG 18:1/18:1	[4.28173..4.28173]	[4.8493443..4.8493443]	[4.6893444..4.6893444]	[4.87685..4.87685]	[4.28173..4.87685]
PG 36:3:0	4.364574	4.3397927	4.433117	4.289224	[4.289224..4.433117]	Sum	[3.7192585..3.7192585]	[4.01904..4.01904]	[4.224409..4.224409]	[4.4350796..4.4350796]	[3.7192585..4.4350796]
						PG 16:0-20:3 (0z-11z)	[0.90122193..0.90122193]	[0.95528746..0.95528746]	[1.0490159..1.0490159]	[1.0836533..1.0836533]	[0.90122193..1.0836533]
						PG 18:0-18:3 (0z-9z)	[0.089450225..0.089450225]	[0.102254055..0.102254055]	[0.086501114..0.086501114]	[0.10087007..0.10087007]	[0.086501114..0.102254055]
						PG 18:1-18:2	[2.7285864..2.7285864]	[2.9614985..2.9614985]	[3.0888922..3.0888922]	[3.2505565..3.2505565]	[2.7285864..3.2505565]
PG 36:4:0	6.0239806	5.844429	5.97769	5.9182534	[5.844429..6.0239806]	Sum	[2.7457068..2.7457068]	[2.9890785..2.9890785]	[3.0528135..3.0528135]	[3.1876523..3.1876523]	[2.7457068..3.1876523]
						PG 16:0-20:4 (0z-8z)	[2.3377252..2.3377252]	[2.549543..2.549543]	[2.5657344..2.5657344]	[2.7084544..2.7084544]	[2.3377252..2.7084544]
						PG 18:1-18:3 (0z-9z)	[0.057947278..0.057947278]	[0.062139116..0.062139116]	[0.05837496..0.05837496]	[0.057040952..0.057040952]	[0.057040952..0.062139116]
						PG 18:2/18:2	[0.35003418..0.35003418]	[0.3773966..0.3773966]	[0.42870423..0.42870423]	[0.4221571..0.4221571]	[0.35003418..0.42870423]
PG 36:5:0	0.13027552	0.12245362	0.15334217	0.1415425	[0.12245362..0.15334217]	Sum	[0.08004077..0.08004077]	[0.08399611..0.08399611]	[0.08689038..0.08689038]	[0.09387876..0.09387876]	[0.08004077..0.09387876]
						PG 14:0-22:5 (0z-7z)	[0.003980845..0.003980845]	[0.0042217993..0.0042217993]	[0.0043398547..0.0043398547]	[0.0043533174..0.0043533174]	[0.003980845..0.0043533174]
						PG 16:1-20:4 (0z-8z)	[0.034470238..0.034470238]	[0.03607685..0.03607685]	[0.03809245..0.03809245]	[0.03997156..0.03997156]	[0.034470238..0.03997156]
						PG 16:0-20:5	[0.011252812..0.011252812]	[0.012164782..0.012164782]	[0.012814177..0.012814177]	[0.013993179..0.013993179]	[0.011252812..0.013993179]
						PG 18:2-18:3 (0z-9z)	[0.030336872..0.030336872]	[0.03153268..0.03153268]	[0.031643894..0.031643894]	[0.035560712..0.035560712]	[0.030336872..0.035560712]
PG 37:1:0	0.057327896	0.06528177	0.070868924	0.07498302	[0.057327896..0.07498302]	Sum	[0.4103146..0.4103146]	[0.40196732..0.40196732]	[0.40248325..0.40248325]	[0.4382722..0.4382722]	[0.40196732..0.4382722]
						PG 16:0-21:1	[0.30408236..0.30408236]	[0.2911078..0.2911078]	[0.289092..0.289092]	[0.318305..0.318305]	[0.289092..0.318305]
						PG 17:0-20:1	[0.0019439348..0.0019439348]	[0.0022562875..0.0022562875]	[0.0021155374..0.0021155374]	[0.002128637..0.002128637]	[0.0019439348..0.0022562875]
						PG 18:1-19:0	[0.069882154..0.069882154]	[0.072166376..0.072166376]	[0.07291164..0.07291164]	[0.0789196..0.0789196]	[0.069882154..0.0789196]
						PG 18:0-19:1	[0.034406178..0.034406178]	[0.03643686..0.03643686]	[0.038364064..0.038364064]	[0.038918965..0.038918965]	[0.034406178..0.038918965]
PG 37:2:0	0.08452093	0.10400054	0.09156362	0.09814656	[0.08452093..0.10400054]	Sum	[0.17808588..0.17808588]	[0.18466856..0.18466856]	[0.18802088..0.18802088]	[0.19222362..0.19222362]	[0.17808588..0.19222362]
						PG 15:0-22:2	[3.8129918E-4..3.8129918E-4]	[0.0..0.0]	[8.8265765E-4..8.8265765E-4]	[0.0..0.0]	[0.0..8.8265765E-4]
						PG 17:0-20:2	[0.0031574192..0.0031574192]	[0.002971491..0.002971491]	[0.0030792712..0.0030792712]	[0.003042306..0.003042306]	[0.002971491..0.0031574192]
						PG 18:2-19:0	[0.068531156..0.068531156]	[0.07172254..0.07172254]	[0.07502759..0.07502759]	[0.078159474..0.078159474]	[0.068531156..0.078159474]
						PG 18:1-19:1	[0.09588411..0.09588411]	[0.09936412..0.09936412]	[0.09674779..0.09674779]	[0.099689096..0.099689096]	[0.09588411..0.099689096]
						PG 18:0-19:2	[0.010131888..0.010131888]	[0.010610413..0.010610413]	[0.012283574..0.012283574]	[0.0113327345..0.0113327345]	[0.010131888..0.012283574]
PG 37:4:0	0.05605545	0.0746705	0.081539296	0.06534727	[0.05605545..0.081539296]	Sum	[0.07687209..0.07687209]	[0.082043715..0.082043715]	[0.08562075..0.08562075]	[0.09025305..0.09025305]	[0.07687209..0.09025305]
						PG 15:0-22:4 (0z-10z)	[0.015066935..0.015066935]	[0.016017262..0.016017262]	[0.016970064..0.016970064]	[0.017834827..0.017834827]	[0.015066935..0.017834827]
						PG 16:0-21:4 (0z-8z)	[0.012827196..0.012827196]	[0.015323102..0.015323102]	[0.01650123..0.01650123]	[0.015230496..0.015230496]	[0.012827196..0.01650123]
						PG 17:1-20:3 (0z-11z)	[0.0023327263..0.0023327263]	[0.0025745076..0.0025745076]	[0.0025751032..0.0025751032]	[0.002621786..0.002621786]	[0.0023327263..0.002621786]
						PG 17:0-20:4 (0z-8z)	[0.03267491..0.03267491]	[0.033125184..0.033125184]	[0.03433358..0.03433358]	[0.036916908..0.036916908]	[0.03267491..0.036916908]
						PG 18:2-19:2	[0.0033796623..0.0033796623]	[0.0035856979..0.0035856979]	[0.0034959714..0.0034959714]	[0.004209775..0.004209775]	[0.0033796623..0.004209775]
						PG 18:1-19:3 (0z-9z)	[0.010590662..0.010590662]	[0.011417966..0.011417966]	[0.011744802..0.011744802]	[0.013439252..0.013439252]	[0.010590662..0.013439252]
PG 38:1:0	0.060365308	0.05892285	0.05461232	0.061300993	[0.05461232..0.061300993]	Sum	[0.59362036..0.59362036]	[0.6194283..0.6194283]	[0.6460714..0.6460714]	[0.6900884..0.6900884]	[0.59362036..0.6900884]
						PG 16:0-22:1	[0.38995472..0.38995472]	[0.40459436..0.40459436]	[0.4306673..0.4306673]	[0.4661163..0.4661163]	[0.38995472..0.4661163]
						PG 18:1-20:0	[0.14887168..0.14887168]	[0.15138921..0.15138921]	[0.15161541..0.15161541]	[0.15698074..0.15698074]	[0.14887168..0.15698074]
						PG 18:0-20:1	[0.054793984..0.054793984]	[0.06344475..0.06344475]	[0.06378866..0.06378866]	[0.066991284..0.066991284]	[0.054793984..0.066991284]
PG 38:2:0	0.24134083	0.25328964	0.22924332	0.22734821	[0.22734821..0.25328964]	Sum	[0.36712283..0.36712283]	[0.3954317..0.3954317]	[0.4118628..0.4118628]	[0.41682076..0.41682076]	[0.36712283..0.41682076]
						PG 16:0-22:2	[0.04575583..0.04575583]	[0.06269838..0.06269838]	[0.08499866..0.08499866]	[0.07245568..0.07245568]	[0.04575583..0.08499866]
						PG 18:2-20:0	[0.07294173..0.07294173]	[0.07406165..0.07406165]	[0.07224217..0.07224217]	[0.07649018..0.07649018]	[0.07224217..0.07649018]
						PG 18:1-20:1	[0.14498287..0.14498287]	[0.1485172..0.1485172]	[0.14789689..0.14789689]	[0.15517992..0.15517992]	[0.14498287..0.15517992]
						PG 18:0-20:2	[0.10344241..0.10344241]	[0.11015446..0.11015446]	[0.10672507..0.10672507]	[0.11269495..0.11269495]	[0.10344241..0.11269495]
PG 38:3:0	0.94789934	0.9119773	0.9010867	0.9232054	[0.9010867..0.94789934]	Sum	[0.9411669..0.9411669]	[0.95400375..0.95400375]	[1.0139788..1.0139788]	[1.0404376..1.0404376]	[0.9411669..1.0404376]
						PG 16:0-22:3	[0.034610704..0.034610704]	[0.034475997..0.034475997]	[0.03661347..0.03661347]	[0.03887844..0.03887844]	[0.034475997..0.03887844]
						PG 18:2-20:1	[0.108202465..0.108202465]	[0.10996425..0.10996425]	[0.11103286..0.11103286]	[0.11372074..0.11372074]	[0.108202465..0.11372074]
						PG 18:1-20:2	[0.12099782..0.12099782]	[0.12325289..0.12325289]	[0.13818376..0.13818376]	[0.13702886..0.13702886]	[0.12099782..0.13818376]
						PG 18:0-20:3 (0z-11z)	[0.6773559..0.6773559]	[0.68631065..0.68631065]	[0.72814876..0.72814876]	[0.7508096..0.7508096]	[0.6773559..0.7508096]
PG 38:6:0	1.6321195	1.6091534	1.6145128	1.6005033	[1.6005033..1.6321195]	Sum	[0.42259365..0.42259365]	[0.4549313..0.4549313]	[0.45012882..0.45012882]	[0.47990188..0.47990188]	[0.42259365..0.47990188]
						PG 16:1-22:5 (0z-7z)	[0.031997036..0.031997036]	[0.025887959..0.025887959]	[0.027046902..0.027046902]	[0.023990821..0.023990821]	[0.023990821..0.031997036]
						PG 16:0-22:6	[0.3765263..0.3765263]	[0.41075736..0.41075736]	[0.40600172..0.40600172]	[0.43611243..0.43611243]	[0.3765263..0.43611243]
						PG 18:2-20:4 (0z-8z)	[0.014070295..0.014070295]	[0.018285992..0.018285992]	[0.01708023..0.01708023]	[0.019798629..0.019798629]	[0.014070295..0.019798629]
PG 39:4:0	0.0	0.0	0.0	0.036930606	[0.0..0.036930606]	Sum	[0.10865036..0.10865036]	[0.10942947..0.10942947]	[0.11323642..0.11323642]	[0.088311076..0.088311076]	[0.088311076..0.11323642]
						PG 16:0-23:4 (0z-10z)	[0.08159638..0.08159638]	[0.07818033..0.07818033]	[0.08619655..0.08619655]	[0.056890853..0.056890853]	[0.056890853..0.08619655]
						PG 17:0-22:4 (0z-10z)	[0.015758494..0.015758494]	[0.018769242..0.018769242]	[0.016757367..0.016757367]	[0.01873491..0.01873491]	[0.015758494..0.018769242]
						PG 19:0-20:4 (0z-8z)	[0.01129548..0.01129548]	[0.012479906..0.012479906]	[0.010282494..0.010282494]	[0.012685312..0.012685312]	[0.010282494..0.012685312]
PG 39:5:0	0.033508684	0.0	0.0	0.0	[0.0..0.033508684]	Sum	[0.065575324..0.065575324]	[0.06994942..0.06994942]	[0.07483075..0.07483075]	[0.07598161..0.07598161]	[0.065575324..0.07598161]
						PG 17:1-22:4 (0z-10z)	[0.005569521..0.005569521]	[0.0061467406..0.0061467406]	[0.006183731..0.006183731]	[0.0066719577..0.0066719577]	[0.005569521..0.0066719577]
						PG 17:0-22:5 (0z-7z)	[0.014841503..0.014841503]	[0.017091053..0.017091053]	[0.017020356..0.017020356]	[0.017091904..0.017091904]	[0.014841503..0.017091904]
						PG 18:1-21:4 (0z-8z)	[0.042004764..0.042004764]	[0.043653037..0.043653037]	[0.048479777..0.048479777]	[0.048615668..0.048615668]	[0.042004764..0.048615668]
						PG 19:1-20:4 (0z-8z)	[0.0031595354..0.0031595354]	[0.003058592..0.003058592]	[0.0031468817..0.0031468817]	[0.0036020763..0.0036020763]	[0.003058592..0.0036020763]
PG 40:5:0	1.0508808	1.1155564	1.090908	1.0904769	[1.0508808..1.1155564]	Sum	[0.51574713..0.51574713]	[0.5455004..0.5455004]	[0.5451001..0.5451001]	[0.54494804..0.54494804]	[0.51574713..0.5455004]
						PG 16:0-24:5 (0z-9z)	[0.12908247..0.12908247]	[0.1366988..0.1366988]	[0.13092643..0.13092643]	[0.11609187..0.11609187]	[0.11609187..0.1366988]
						PG 18:0-22:5 (0z-7z)	[0.36710116..0.36710116]	[0.39369044..0.39369044]	[0.395491..0.395491]	[0.41210893..0.41210893]	[0.36710116..0.41210893]
						PG 20:1-20:4 (0z-8z)	[0.019563468..0.019563468]	[0.015111152..0.015111152]	[0.018682694..0.018682694]	[0.016747225..0.016747225]	[0.015111152..0.019563468]
PG 40:6:0	0.5512702	0.5436845	0.566137	0.5302356	[0.5302356..0.566137]	Sum	[1.1021976..1.1021976]	[1.0157676..1.0157676]	[1.0677094..1.0677094]	[1.055745..1.055745]	[1.0157676..1.1021976]
						PG 18:1-22:5 (0z-7z)	[0.9701878..0.9701878]	[0.8772434..0.8772434]	[0.92985016..0.92985016]	[0.9081813..0.9081813]	[0.8772434..0.9701878]
						PG 18:0-22:6	[0.124637425..0.124637425]	[0.13347644..0.13347644]	[0.13785936..0.13785936]	[0.13721398..0.13721398]	[0.124637425..0.13785936]
						PG 20:2-20:4 (0z-8z)	[0.0073724287..0.0073724287]	[0.00504778..0.00504778]	[0.0..0.0]	[0.010349685..0.010349685]	[0.0..0.010349685]
PG 40:7:0	0.09255332	0.10031685	0.09520361	0.094706126	[0.09255332..0.10031685]	Sum	[0.06757158..0.06757158]	[0.06991319..0.06991319]	[0.06789612..0.06789612]	[0.07009021..0.07009021]	[0.06757158..0.07009021]
						PG 18:1-22:6	[0.06757158..0.06757158]	[0.06991319..0.06991319]	[0.06789612..0.06789612]	[0.07009021..0.07009021]	[0.06757158..0.07009021]
