Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 17:0/14:0	[2.6320136E-4..3.7465405E-4]	[3.4483426E-4..5.532165E-4]	[2.562612E-4..4.6441797E-4]	[2.992947E-4..4.420104E-4]	[2.562612E-4..5.532165E-4]
						PG 14:0/17:0	[1.8850231E-4..2.8519338E-4]	[6.8554495E-5..2.1120491E-4]	[1.21897225E-4..2.807962E-4]	[1.075896E-4..2.1987187E-4]	[6.8554495E-5..2.8519338E-4]
						PG 16:0/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/16:0	[0.04895615..0.056146026]	[0.047835954..0.056891497]	[0.04966802..0.05750927]	[0.046850417..0.05612248]	[0.046850417..0.05750927]
PG 32:0:0	0.93177164	0.9135334	0.96200395	0.9113489	[0.9113489..0.96200395]	Sum	[0.89426386..0.9519156]	[0.81603724..0.94829863]	[0.8652142..0.9751768]	[0.84733844..0.9107749]	[0.81603724..0.9751768]
						PG 18:0/14:0	[2.6963165E-4..0.0016565513]	[3.794299E-4..0.007020951]	[0.0013113498..0.0045620957]	[5.269974E-4..0.0066422652]	[2.6963165E-4..0.007020951]
						PG 14:0/18:0	[0.0033332054..0.0055140327]	[0.0..0.0048584975]	[0.0027304818..0.0065496266]	[0.0..0.0037528796]	[0.0..0.0065496266]
						PG 16:0/16:0	[0.8899713..0.94504505]	[0.8161131..0.9398341]	[0.860299..0.96579194]	[0.84736216..0.9030713]	[0.8161131..0.96579194]
PG 32:1:0	1.6903616	1.7164704	1.7134085	1.7017329	[1.6903616..1.7164704]	Sum	[1.6358873..1.7136939]	[1.5764604..1.67291]	[1.5956614..1.6769168]	[1.5728014..1.679205]	[1.5728014..1.7136939]
						PG 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 14:0/18:1	[0.27090064..0.2845233]	[0.26038897..0.29437542]	[0.25600857..0.27449912]	[0.26678082..0.28398547]	[0.25600857..0.29437542]
						PG 16:0/16:1	[1.3072557..1.4308269]	[1.2453955..1.3981537]	[1.2836611..1.4084989]	[1.2504469..1.3977218]	[1.2453955..1.4308269]
						PG 16:1/16:0	[0.0013603078..0.05585811]	[0.0..0.068509534]	[0.0..0.03662097]	[0.0..0.054511156]	[0.0..0.068509534]
PG 32:2:0	0.13986586	0.13648486	0.122738756	0.1282267	[0.122738756..0.13986586]	Sum	[0.1290872..0.14214242]	[0.13069125..0.13421595]	[0.12700145..0.14228947]	[0.13218626..0.13503349]	[0.12700145..0.14228947]
						PG 18:1/14:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 14:1/18:1	[0.0033734736..0.003899299]	[0.0033920973..0.0038249807]	[0.0035009587..0.0043353084]	[0.0037430215..0.0038547362]	[0.0033734736..0.0043353084]
						PG 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 14:0/18:2	[0.087763965..0.09411277]	[0.08627976..0.090142235]	[0.08392698..0.09343762]	[0.08882596..0.09047831]	[0.08392698..0.09411277]
						PG 16:0/16:2	[0.008237191..0.01372914]	[0.007559263..0.01205237]	[0.007402832..0.013577627]	[0.008066351..0.013556282]	[0.007402832..0.01372914]
						PG 16:2/16:0	[0.0015372675..0.0055696624]	[0.0023598385..0.0061440566]	[0.0027273593..0.007903394]	[0.0010672404..0.005191136]	[0.0010672404..0.007903394]
						PG 16:1/16:1	[0.025435459..0.028522613]	[0.025322331..0.027541723]	[0.025195029..0.02813661]	[0.025972134..0.026816359]	[0.025195029..0.028522613]
PG 33:0:0	0.021486064	0.022886943	0.02336121	0.025678411	[0.021486064..0.025678411]	Sum	[0.027206153..0.030877119]	[0.026074782..0.031129664]	[0.028044477..0.0321776]	[0.026165022..0.029971752]	[0.026074782..0.0321776]
						PG 18:0/15:0	[0.0..3.6252974E-4]	[0.0..2.994266E-4]	[0.0..0.0]	[3.2991953E-5..1.4989209E-4]	[0.0..3.6252974E-4]
						PG 15:0/18:0	[0.0024241349..0.0033567564]	[0.0026596838..0.003254637]	[0.0031452794..0.0038611605]	[0.0026146122..0.003022314]	[0.0024241349..0.0038611605]
						PG 17:0/16:0	[0.009351595..0.012243601]	[0.009144318..0.011872195]	[0.009734142..0.013829537]	[0.008286842..0.010973618]	[0.008286842..0.013829537]
						PG 16:0/17:0	[0.013524222..0.01687926]	[0.013275509..0.016809694]	[0.012704303..0.0171813]	[0.013850529..0.017316906]	[0.012704303..0.017316906]
PG 33:1:0	0.22124065	0.21062216	0.21194957	0.20458342	[0.20458342..0.22124065]	Sum	[0.28158987..0.28673592]	[0.2709281..0.29051805]	[0.26520467..0.29443997]	[0.26652563..0.29794133]	[0.26520467..0.29794133]
						PG 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/18:1	[0.15014216..0.15308611]	[0.14548868..0.15662651]	[0.14037769..0.16124466]	[0.14638707..0.16088834]	[0.14037769..0.16124466]
						PG 17:0/16:1	[0.0066464376..0.00731435]	[0.0072303424..0.008006512]	[0.007106579..0.0081866]	[0.0067393985..0.008159622]	[0.0066464376..0.0081866]
						PG 16:1/17:0	[6.0842244E-4..0.0010880195]	[1.5126241E-5..3.529925E-4]	[0.0..7.5316714E-4]	[1.1358536E-4..9.112267E-4]	[0.0..0.0010880195]
						PG 17:1/16:0	[0.015381962..0.02189162]	[0.017733788..0.022196263]	[0.011440584..0.023575326]	[0.010028391..0.021121573]	[0.010028391..0.023575326]
						PG 16:0/17:1	[0.10164401..0.110087186]	[0.097181164..0.10599339]	[0.096360385..0.11633071]	[0.095383674..0.11817714]	[0.095383674..0.11817714]
PG 33:2:0	0.07830386	0.08897145	0.0829799	0.0977714	[0.07830386..0.0977714]	Sum	[0.18501769..0.19236237]	[0.17929924..0.19485833]	[0.18114124..0.19943877]	[0.17907164..0.19786525]	[0.17907164..0.19943877]
						PG 18:1/15:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:1/18:1	[0.04719019..0.049482666]	[0.045837656..0.04923911]	[0.046457916..0.049912497]	[0.04800236..0.051370442]	[0.045837656..0.051370442]
						PG 18:2/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/18:2	[0.12271553..0.12901863]	[0.11885704..0.12973107]	[0.119109705..0.13185938]	[0.11666344..0.13106501]	[0.11666344..0.13185938]
						PG 17:1/16:1	[0.0026215427..0.00312045]	[0.00224185..0.003128544]	[0.0026359097..0.0035347198]	[0.0026659155..0.003303145]	[0.00224185..0.0035347198]
						PG 16:1/17:1	[0.0016012914..0.0020498957]	[0.0018282592..0.0026779515]	[0.0010789247..0.001870495]	[0.001431272..0.002004966]	[0.0010789247..0.0026779515]
						PG 17:2/16:0	[0.0037611215..0.0045399843]	[0.0052641896..0.006815137]	[0.006217476..0.00952037]	[0.0048186043..0.0059310473]	[0.0037611215..0.00952037]
						PG 16:0/17:2	[0.0052930666..0.006076291]	[0.003963505..0.0054031922]	[0.002669172..0.005256567]	[0.004747594..0.005853007]	[0.002669172..0.006076291]
PG 34:1:0	52.702034	52.83448	52.73797	52.805912	[52.702034..52.83448]	Sum	[50.505947..52.491737]	[50.294365..51.997036]	[50.226273..56.12681]	[49.991016..52.24476]	[49.991016..56.12681]
						PG 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:0/18:1	[50.569473..52.558613]	[50.379063..51.9257]	[50.29069..56.061806]	[50.06551..52.17038]	[50.06551..56.061806]
PG 34:2:0	24.27284	24.208158	24.147831	24.259777	[24.147831..24.27284]	Sum	[24.205507..25.041134]	[23.555435..25.185019]	[20.532637..24.713936]	[23.096542..25.31994]	[20.532637..25.31994]
						PG 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.007235323]	[0.0..0.063835025]	[0.0..0.063835025]
						PG 16:1/18:1	[1.2822176..1.5606346]	[1.28031..1.4483085]	[1.233589..1.4470645]	[1.3600885..1.450796]	[1.233589..1.5606346]
						PG 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:0/18:2	[22.954128..23.450096]	[22.315464..23.792814]	[19.265017..23.230152]	[21.71248..23.837223]	[19.265017..23.837223]
PG 34:3:0	0.7879502	0.8284767	0.79858273	0.817638	[0.7879502..0.8284767]	Sum	[0.78137034..0.8748738]	[0.7762375..0.84997994]	[0.7746835..0.8898887]	[0.77048296..0.84280056]	[0.77048296..0.8898887]
						PG 18:1/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:2/18:1	[0.016380157..0.021353586]	[0.017578334..0.020260885]	[0.018776119..0.023398492]	[0.018259851..0.022052832]	[0.016380157..0.023398492]
						PG 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:1/18:2	[0.43996415..0.47463527]	[0.4288839..0.4496414]	[0.4198644..0.47009563]	[0.43849573..0.456875]	[0.4198644..0.47463527]
						PG 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.008609175]	[0.0..0.0]	[0.0..0.0018176632]	[0.0..0.008609175]
						PG 16:0/18:3 (6z-9z)	[0.31674388..0.38482127]	[0.30940658..0.37431198]	[0.3338488..0.39632902]	[0.30945382..0.36353263]	[0.30940658..0.39632902]
PG 34:4:0	0.04020946	0.034652937	0.031495478	0.042340584	[0.031495478..0.042340584]	Sum	[0.03325019..0.040380426]	[0.032692198..0.03768292]	[0.032164037..0.041174218]	[0.03367507..0.038715526]	[0.032164037..0.041174218]
						PG 20:4 (5z-8z)/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..4.0628857E-4]	[0.0..0.0]	[0.0..4.0628857E-4]
						PG 14:0/20:4 (5z-8z)	[0.01012777..0.01248767]	[0.009154085..0.011816927]	[0.009094297..0.012311774]	[0.010160427..0.012091243]	[0.009094297..0.01248767]
						PG 18:1/16:3 (7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:3 (7z)/18:1	[0.005375735..0.006855168]	[0.0055635977..0.0058419113]	[0.0052730013..0.0067679067]	[0.005287146..0.0063139545]	[0.0052730013..0.006855168]
						PG 18:2/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:2/18:2	[0.009975872..0.012034354]	[0.010098795..0.011657442]	[0.009617091..0.012558316]	[0.010210197..0.011578377]	[0.009617091..0.012558316]
						PG 18:3 (6z-9z)/16:1	[0.0..2.7953536E-4]	[0.0..1.5861071E-4]	[0.0..3.10634E-4]	[0.0..4.6057635E-4]	[0.0..4.6057635E-4]
						PG 16:1/18:3 (6z-9z)	[0.0049725696..0.0066556036]	[0.004849179..0.0061004115]	[0.005122897..0.006752913]	[0.0049551907..0.006396894]	[0.004849179..0.006752913]
						PG 18:4 (8z)/16:0	[0.0021777283..0.0026004533]	[0.0020752714..0.0027724563]	[0.0021811265..0.0030819904]	[0.0016285566..0.0026414732]	[0.0016285566..0.0030819904]
						PG 16:0/18:4 (8z)	[0.0..0.0]	[0.0..1.9407195E-4]	[0.0..0.0]	[0.0..4.8603112E-4]	[0.0..4.8603112E-4]
PG 35:1:0	0.34278253	0.34598362	0.3358245	0.3347854	[0.3347854..0.34598362]	Sum	[0.37403497..0.39669034]	[0.384526..0.40540338]	[0.3823094..0.40344474]	[0.3671271..0.39429906]	[0.3671271..0.40540338]
						PG 19:1/16:0	[0.018809242..0.02815]	[0.016967023..0.029511796]	[0.01721536..0.025617631]	[0.015956705..0.026729885]	[0.015956705..0.029511796]
						PG 16:0/19:1	[0.062017266..0.07369501]	[0.065351..0.080737956]	[0.0683061..0.079590656]	[0.06261273..0.07845896]	[0.062017266..0.080737956]
						PG 18:0/17:1	[0.01579224..0.01907711]	[0.016211864..0.021023052]	[0.015222489..0.019811627]	[0.01521777..0.02015377]	[0.01521777..0.021023052]
						PG 17:1/18:0	[0.0015567171..0.0032870045]	[0.0018511142..0.0039026218]	[0.0016782252..0.004958319]	[0.0014110375..0.0032386081]	[0.0014110375..0.004958319]
						PG 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/18:1	[0.2653052..0.28213912]	[0.27134046..0.2841334]	[0.26894122..0.28355947]	[0.26292264..0.28363732]	[0.26292264..0.2841334]
PG 35:2:0	0.22514178	0.21450247	0.20451282	0.19844007	[0.19844007..0.22514178]	Sum	[0.28369644..0.28860077]	[0.26653045..0.28638068]	[0.2740711..0.30155042]	[0.27822897..0.30415362]	[0.26653045..0.30415362]
						PG 19:1/16:1	[0.0..0.0027761383]	[0.0012155231..0.0017741408]	[6.3376623E-4..0.0020488426]	[0.0013719765..0.0021720468]	[0.0..0.0027761383]
						PG 16:1/19:1	[3.1574912E-4..0.0036053741]	[0.0013744332..0.0019736001]	[7.7270734E-4..0.0022198295]	[0.0010850271..0.0018447053]	[3.1574912E-4..0.0036053741]
						PG 19:2/16:0	[0.004490028..0.007548684]	[0.0056041977..0.008124779]	[0.0058446354..0.010484622]	[0.0052995975..0.007439683]	[0.004490028..0.010484622]
						PG 16:0/19:2	[0.006965838..0.010210272]	[0.0064951214..0.0090440065]	[0.0053042555..0.009849191]	[0.0071814386..0.009543211]	[0.0053042555..0.010210272]
						PG 18:1/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/18:1	[0.07190981..0.07748221]	[0.06905098..0.07256757]	[0.0705021..0.078404665]	[0.07431803..0.07856363]	[0.06905098..0.07856363]
						PG 18:2/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/18:2	[0.19287737..0.19933823]	[0.18030497..0.19768097]	[0.18600775..0.20600198]	[0.1875491..0.20768249]	[0.18030497..0.20768249]
PG 35:3:0	0.0311487	0.029155467	0.028255105	0.02684849	[0.02684849..0.0311487]	Sum	[0.061356816..0.07014535]	[0.06199914..0.070013784]	[0.060750537..0.07345127]	[0.06231718..0.07122367]	[0.060750537..0.07345127]
						PG 20:3 (5z-11z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/20:3 (5z-11z)	[0.0028124587..0.0038095182]	[0.0028296956..0.0038450158]	[0.0030111873..0.0041827913]	[0.0029296635..0.0042303465]	[0.0028124587..0.0042303465]
						PG 19:2/16:1	[1.2747943E-4..2.1346787E-4]	[1.8028766E-4..4.0683604E-4]	[1.20849996E-4..3.9667112E-4]	[1.9916474E-4..3.1880458E-4]	[1.20849996E-4..4.0683604E-4]
						PG 16:1/19:2	[1.8947548E-4..2.8030714E-4]	[7.821304E-5..2.926451E-4]	[0.0..1.8167538E-4]	[1.77669E-4..2.9255007E-4]	[0.0..2.926451E-4]
						PG 19:3 (6z-9z)/16:0	[3.181047E-4..0.0034068963]	[0.0011982963..0.0039323396]	[0.0017058353..0.0053450284]	[8.8517816E-4..0.0038670693]	[3.181047E-4..0.0053450284]
						PG 16:0/19:3 (6z-9z)	[0.004024998..0.008526206]	[0.0042573013..0.0077084885]	[0.00367472..0.00779442]	[0.0039170873..0.0077076517]	[0.00367472..0.008526206]
						PG 18:1/17:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:2/18:1	[0.00559869..0.0057858424]	[0.0060784454..0.006376838]	[0.005718939..0.006874241]	[0.0061843223..0.0065056114]	[0.00559869..0.006874241]
						PG 18:2/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/18:2	[0.04429569..0.046313636]	[0.04312431..0.04648905]	[0.043972187..0.047495168]	[0.04357096..0.04784234]	[0.04312431..0.04784234]
						PG 18:3 (6z-9z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/18:3 (6z-9z)	[0.0024101178..0.0028645324]	[0.002349684..0.003031149]	[0.0021581603..0.0029735875]	[0.0024140785..0.0027795515]	[0.0021581603..0.003031149]
PG 36:2:0	10.3804655	10.379833	10.469114	10.37732	[10.37732..10.469114]	Sum	[9.858737..10.2771635]	[10.433046..11.054257]	[10.262058..10.748855]	[10.560258..10.851487]	[9.858737..11.054257]
						PG 20:2/16:0	[0.0..0.008396233]	[0.0..0.039690353]	[0.0..0.022817055]	[0.0..0.016881196]	[0.0..0.039690353]
						PG 16:0/20:2	[0.17826663..0.21528801]	[0.17693388..0.23766679]	[0.19605665..0.2304753]	[0.1837627..0.22812425]	[0.17693388..0.23766679]
						PG 18:0/18:2	[7.4669414..7.8126616]	[7.8647604..8.418699]	[7.6852636..8.069061]	[7.963971..8.18313]	[7.4669414..8.418699]
						PG 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:1/18:1	[2.1747596..2.3251758]	[2.288203..2.4324791]	[2.3279684..2.4818006]	[2.3589025..2.4895546]	[2.1747596..2.4895546]
PG 36:3:0	2.3002195	2.2929068	2.337936	2.264964	[2.264964..2.337936]	Sum	[2.0782857..2.3485155]	[2.1534698..2.4098237]	[2.1692786..2.5131211]	[2.2727628..2.5626066]	[2.0782857..2.5626066]
						PG 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.04478071]	[0.0..0.0]	[0.0..0.025900437]	[0.0..0.04478071]
						PG 16:0/20:3 (5z-11z)	[0.53849024..0.6913958]	[0.5184367..0.7108049]	[0.58126694..0.7935552]	[0.59023994..0.7848617]	[0.5184367..0.7935552]
						PG 18:0/18:3 (6z-9z)	[0.04945678..0.06613283]	[0.06305867..0.07927951]	[0.05377744..0.07315205]	[0.05642554..0.071574755]	[0.04945678..0.07927951]
						PG 18:3 (6z-9z)/18:0	[0.0..0.008729532]	[0.0..0.0018234288]	[0.0..0.0016824972]	[0.0..0.0057975547]	[0.0..0.008729532]
						PG 18:1/18:2	[1.2955598..1.4073838]	[1.3524952..1.3816214]	[1.3051882..1.5659306]	[1.3985914..1.5163846]	[1.2955598..1.5659306]
						PG 18:2/18:1	[0.17110656..0.20196356]	[0.19455847..0.2176527]	[0.11243763..0.23844084]	[0.16062708..0.23225425]	[0.11243763..0.23844084]
PG 36:4:0	3.1747606	3.0878737	3.1525123	3.1251879	[3.0878737..3.1747606]	Sum	[2.5599518..3.3244464]	[2.6718037..3.0152793]	[2.7271054..3.1461983]	[2.7442622..3.2289414]	[2.5599518..3.3244464]
						PG 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:0/20:4 (5z-8z)	[2.3332598..3.04241]	[2.4336827..2.7626886]	[2.4673874..2.892289]	[2.4914048..2.9674032]	[2.3332598..3.04241]
						PG 18:1/18:3 (6z-9z)	[0.013789712..0.026072422]	[0.010738941..0.021136498]	[0.010025699..0.025975948]	[0.00925642..0.018436197]	[0.00925642..0.026072422]
						PG 18:3 (6z-9z)/18:1	[0.0121046845..0.024100892]	[0.014819086..0.025975442]	[0.0097609935..0.025681185]	[0.014955101..0.024792295]	[0.0097609935..0.025975442]
						PG 18:2/18:2	[0.19440728..0.2367825]	[0.20566942..0.2221881]	[0.20980395..0.23708549]	[0.22328256..0.23836361]	[0.19440728..0.23836361]
PG 36:5:0	0.068657845	0.064697735	0.08086955	0.07474281	[0.064697735..0.08086955]	Sum	[0.06595649..0.08317861]	[0.06919645..0.07885339]	[0.06776586..0.08511819]	[0.07339788..0.082227565]	[0.06595649..0.08511819]
						PG 22:5 (4z-7z)/14:0	[0.0..7.463934E-4]	[0.0..2.6398938E-4]	[0.0..4.307667E-4]	[0.0..0.0]	[0.0..7.463934E-4]
						PG 14:0/22:5 (4z-7z)	[0.0040226537..0.0063253683]	[0.004803967..0.005999759]	[0.004569972..0.0068375664]	[0.005411372..0.0059050177]	[0.0040226537..0.0068375664]
						PG 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 16:1/20:4 (5z-8z)	[0.032921903..0.044796962]	[0.034509912..0.04313782]	[0.03531374..0.04614518]	[0.03607703..0.04447363]	[0.032921903..0.04614518]
						PG 20:5 (5z)/16:0	[0.002121511..0.0063082757]	[0.0019812079..0.0059331683]	[0.0026257727..0.0068969736]	[0.0025495258..0.006567925]	[0.0019812079..0.0068969736]
						PG 16:0/20:5 (5z)	[0.0041429503..0.0084828]	[0.004315502..0.008454764]	[0.0036881084..0.008053743]	[0.004502791..0.0087883985]	[0.0036881084..0.0087883985]
						PG 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:3 (6z-9z)/18:2	[0.018631425..0.020714069]	[0.019000942..0.019864205]	[0.017781632..0.020984825]	[0.01985432..0.021376252]	[0.017781632..0.021376252]
PG 37:1:0	0.030212965	0.034491286	0.03737483	0.03959547	[0.030212965..0.03959547]	Sum	[0.15608914..0.22592072]	[0.13544376..0.21479435]	[0.14481036..0.21687415]	[0.14668141..0.2274962]	[0.13544376..0.2274962]
						PG 21:1/16:0	[0.104242995..0.17062786]	[0.08807589..0.15867898]	[0.09324714..0.15890002]	[0.097003475..0.16855578]	[0.08807589..0.17062786]
						PG 16:0/21:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:1/17:0	[2.8956169E-5..2.2707727E-4]	[0.0..2.4141942E-4]	[0.0..5.3398606E-5]	[5.787895E-6..1.9525205E-4]	[0.0..2.4141942E-4]
						PG 17:0/20:1	[7.441736E-4..9.618557E-4]	[7.178884E-4..0.0011074285]	[7.689376E-4..0.0010470315]	[6.7470316E-4..0.0010537243]	[6.7470316E-4..0.0011074285]
						PG 19:0/18:1	[0.0330126..0.036338627]	[0.02970368..0.03683182]	[0.032610144..0.03748594]	[0.032036602..0.039076716]	[0.02970368..0.039076716]
						PG 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:1/18:0	[0.0070130285..0.009609912]	[0.007348288..0.01021195]	[0.007656677..0.011338415]	[0.006092921..0.010136298]	[0.006092921..0.011338415]
						PG 18:0/19:1	[0.008002491..0.010626174]	[0.007299516..0.010156348]	[0.0074630594..0.011121883]	[0.007689461..0.012017656]	[0.007299516..0.012017656]
PG 37:2:0	0.04454425	0.054948147	0.048288796	0.05182719	[0.04454425..0.054948147]	Sum	[0.08367049..0.09777254]	[0.07726217..0.0959319]	[0.08146601..0.09758671]	[0.08017896..0.0960134]	[0.07726217..0.09777254]
						PG 22:2/15:0	[0.0..9.0729234E-5]	[0.0..8.0872225E-5]	[1.3578951E-4..4.5364135E-4]	[0.0..0.0]	[0.0..4.5364135E-4]
						PG 15:0/22:2	[0.0..1.8145847E-4]	[0.0..1.6174445E-4]	[0.0..2.6855568E-4]	[0.0..0.0]	[0.0..2.6855568E-4]
						PG 17:0/20:2	[0.001230125..0.0016209995]	[0.0011662018..0.0019011456]	[0.0011833294..0.0015697429]	[0.0..0.0015971995]	[0.0..0.0019011456]
						PG 20:2/17:0	[0.0..0.0]	[0.0..3.6501995E-4]	[0.0..3.579014E-4]	[0.0..7.9859974E-4]	[0.0..7.9859974E-4]
						PG 19:0/18:2	[0.037695885..0.042124577]	[0.034885287..0.03883356]	[0.037227735..0.04090014]	[0.036247533..0.04103844]	[0.034885287..0.042124577]
						PG 18:2/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:1/18:1	[0.039460212..0.04990932]	[0.03524494..0.0501901]	[0.037047807..0.04845434]	[0.037900604..0.048105825]	[0.03524494..0.0501901]
						PG 18:1/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
