Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 18:1/16:3 (7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:3 (7z)/18:1	[0.004711228..0.005913089]	[0.004834994..0.00506627]	[0.004629672..0.0058064456]	[0.0045829727..0.005442529]	[0.0045829727..0.005913089]	
						PG 18:2/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:2	[0.008682022..0.010603893]	[0.008846498..0.0103082275]	[0.008550801..0.011012762]	[0.008807085..0.01018927]	[0.008550801..0.011012762]	
						PG 18:3 (6z-9z)/16:1	[0.0..2.7161223E-4]	[0.0..1.593359E-4]	[0.0..2.9733925E-4]	[0.0..4.2719947E-4]	[0.0..4.2719947E-4]	
						PG 16:1/18:3 (6z-9z)	[0.0043178573..0.0057789832]	[0.0042067114..0.005311197]	[0.004436617..0.0058301818]	[0.0042704567..0.0055480446]	[0.0042067114..0.0058301818]	
						PG 18:4 (8z)/16:0	[0.0018732251..0.0022735542]	[0.0017987184..0.002403127]	[0.0018662213..0.002679541]	[0.0014059084..0.0022738765]	[0.0014059084..0.002679541]	
						PG 16:0/18:4 (8z)	[0.0..0.0]	[0.0..1.6100954E-4]	[0.0..0.0]	[0.0..4.138455E-4]	[0.0..4.138455E-4]	
PG 35:1:0	0.5787549	0.5783446	0.5603427	0.5597697	[0.5597697..0.5787549]	Sum	[0.32058087..0.34456345]	[0.33107334..0.35523924]	[0.32609913..0.3523358]	[0.31452498..0.34290257]	[0.31452498..0.35523924]	
						PG 19:1/16:0	[0.015852291..0.024355186]	[0.0145806335..0.025645453]	[0.014620813..0.02214844]	[0.01346458..0.023073878]	[0.01346458..0.025645453]	
						PG 16:0/19:1	[0.053530205..0.064164996]	[0.056783464..0.07033201]	[0.05864217..0.0689814]	[0.054007925..0.068059646]	[0.053530205..0.07033201]	
						PG 18:0/17:1	[0.013845373..0.016446995]	[0.014053713..0.0183013]	[0.013360104..0.016971713]	[0.013119947..0.017427806]	[0.013119947..0.0183013]	
						PG 17:1/18:0	[0.0013319183..0.0028276662]	[0.0015858932..0.0033734185]	[0.0014574658..0.0042614564]	[0.0012025334..0.0028164245]	[0.0012025334..0.0042614564]	
						PG 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:1	[0.22815396..0.24431741]	[0.2340137..0.24777068]	[0.23005824..0.2470464]	[0.22598179..0.24574941]	[0.22598179..0.24777068]	
PG 35:2:0	0.37325472	0.3521901	0.33507824	0.3259282	[0.3259282..0.37325472]	Sum	[0.24629198..0.25434044]	[0.233611..0.25079203]	[0.2405547..0.26319885]	[0.24265613..0.26526305]	[0.233611..0.26526305]	
						PG 19:1/16:1	[0.0..0.002398779]	[0.0010610839..0.0015400829]	[5.6110095E-4..0.0017713843]	[0.0011838635..0.0018720191]	[0.0..0.002398779]	
						PG 16:1/19:1	[2.7501816E-4..0.00312341]	[0.0012025618..0.0017162659]	[6.7888934E-4..0.0019140285]	[9.3883736E-4..0.0015923937]	[2.7501816E-4..0.00312341]	
						PG 19:2/16:0	[0.003882618..0.0065449458]	[0.004888167..0.007058685]	[0.0051183635..0.009089525]	[0.004556242..0.0064587896]	[0.003882618..0.009089525]	
						PG 16:0/19:2	[0.006066591..0.008901126]	[0.0056672576..0.00785584]	[0.004631495..0.008525945]	[0.0061545046..0.008246967]	[0.004631495..0.008901126]	
						PG 18:1/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:1	[0.062324315..0.066848956]	[0.0595644..0.063074075]	[0.061810896..0.06727995]	[0.06388905..0.06783173]	[0.0595644..0.06783173]	
						PG 18:2/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:2	[0.16785532..0.1741409]	[0.15967512..0.17282526]	[0.16520962..0.17933461]	[0.16553916..0.18058673]	[0.15967512..0.18058673]	
PG 35:3:0	0.052591547	0.04873614	0.047145285	0.044891357	[0.044891357..0.052591547]	Sum	[0.0538368..0.0602832]	[0.05451443..0.060409687]	[0.054283634..0.06328142]	[0.05474875..0.061203707]	[0.0538368..0.06328142]	
						PG 20:3 (5z-11z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/20:3 (5z-11z)	[0.002453825..0.0032835735]	[0.0024639734..0.003315898]	[0.002638783..0.0035896567]	[0.0025853198..0.003624566]	[0.002453825..0.003624566]	
						PG 19:2/16:1	[1.123842E-4..1.8403064E-4]	[1.5828328E-4..3.548843E-4]	[1.0378883E-4..3.4295858E-4]	[1.7399566E-4..2.7618973E-4]	[1.0378883E-4..3.548843E-4]	
						PG 16:1/19:2	[1.656903E-4..2.404619E-4]	[6.690718E-5..2.520754E-4]	[0.0..1.5707503E-4]	[1.5453562E-4..2.5251633E-4]	[0.0..2.5251633E-4]	
						PG 19:3 (6z-9z)/16:0	[2.7245088E-4..0.0029390494]	[0.0010456945..0.0034084804]	[0.0014858409..0.0046059615]	[7.6828484E-4..0.0033322384]	[2.7245088E-4..0.0046059615]	
						PG 16:0/19:3 (6z-9z)	[0.0035078046..0.007324542]	[0.003695653..0.0066350703]	[0.0031959596..0.0066718697]	[0.0033877124..0.006611464]	[0.0031959596..0.007324542]	
						PG 18:1/17:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:2/18:1	[0.004815114..0.0050387415]	[0.0052428306..0.0055305124]	[0.005022437..0.005942833]	[0.005315917..0.0056375093]	[0.004815114..0.005942833]	
						PG 18:2/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:2	[0.038963728..0.04029375]	[0.038047217..0.040640626]	[0.03908844..0.04134383]	[0.038285434..0.04159735]	[0.038047217..0.04159735]	
						PG 18:3 (6z-9z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:3 (6z-9z)	[0.0020942895..0.0024575496]	[0.0020461888..0.0026185752]	[0.001872859..0.0025549734]	[0.0020908483..0.0023847297]	[0.001872859..0.0026185752]	
PG 36:1:0	12.758817	13.501188	13.776358	13.585435	[12.758817..13.776358]	Sum	[8.547323..9.009945]	[8.438221..8.992351]	[7.9525414..9.264754]	[8.6789..9.302361]	[7.9525414..9.302361]	
						PG 20:1/16:0	[0.0..0.028939126]	[0.004085749..0.030457849]	[0.0..0.011509602]	[0.0023075214..0.02229049]	[0.0..0.030457849]	
						PG 16:0/20:1	[0.13274792..0.1743321]	[0.11834078..0.15664037]	[0.1232613..0.1717851]	[0.13399008..0.1702026]	[0.11834078..0.1743321]	
						PG 18:0/18:1	[8.33179..8.891972]	[8.263313..8.860069]	[7.7272015..9.135484]	[8.463132..9.176324]	[7.7272015..9.176324]	
						PG 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.07308388]	[0.0..0.0]	[0.0..0.07308388]	
PG 36:2:0	16.99733	16.828737	16.936895	16.83523	[16.828737..16.99733]	Sum	[8.562338..8.903054]	[9.051389..9.657954]	[9.0237055..9.193031]	[9.144262..9.329432]	[8.562338..9.657954]	
						PG 20:2/16:0	[0.0..0.007494464]	[0.0..0.032076765]	[0.0..0.018914703]	[0.0..0.014167078]	[0.0..0.032076765]	
						PG 16:0/20:2	[0.15449142..0.18736161]	[0.15900925..0.20965205]	[0.17115593..0.19910215]	[0.15980954..0.19676496]	[0.15449142..0.20965205]	
						PG 18:0/18:2	[6.485388..6.756233]	[6.8094215..7.310474]	[6.7591047..6.9057837]	[6.9014215..7.032744]	[6.485388..7.310474]	
						PG 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:1/18:1	[1.8982298..2.009996]	[1.9886769..2.132927]	[2.0405216..2.1338603]	[2.0406876..2.150622]	[1.8982298..2.150622]	
PG 36:3:0	3.8836963	3.8328123	3.9009821	3.7870777	[3.7870777..3.9009821]	Sum	[1.8243234..2.0270438]	[1.8851396..2.087263]	[1.9069718..2.1637237]	[1.9603659..2.2033415]	[1.8243234..2.2033415]	
						PG 20:3 (5z-11z)/16:0	[0.0..0.0017895267]	[0.0..0.03993853]	[0.0..0.0020448007]	[0.0..0.025579542]	[0.0..0.03993853]	
						PG 16:0/20:3 (5z-11z)	[0.46883953..0.59650886]	[0.45092613..0.614439]	[0.5079986..0.6816002]	[0.49660274..0.67314583]	[0.45092613..0.6816002]	
						PG 18:0/18:3 (6z-9z)	[0.042924922..0.056772724]	[0.055147555..0.068508744]	[0.04683087..0.06390228]	[0.04907524..0.06140393]	[0.042924922..0.068508744]	
						PG 18:3 (6z-9z)/18:0	[0.0..0.007494]	[0.0..0.0016442096]	[0.0..0.0015336548]	[0.0..0.005035123]	[0.0..0.007494]	
						PG 18:1/18:2	[1.1316786..1.2221432]	[1.1746064..1.2039576]	[1.1497653..1.340492]	[1.2145994..1.3066628]	[1.1316786..1.340492]	
						PG 18:2/18:1	[0.14750235..0.1694742]	[0.16449928..0.18627787]	[0.09870376..0.19977096]	[0.14057861..0.19745131]	[0.09870376..0.19977096]	
PG 36:4:0	5.3445168	5.1469746	5.241809	5.2084064	[5.1469746..5.3445168]	Sum	[2.0190742..2.8793502]	[2.121977..2.6312203]	[2.1583443..2.7215242]	[2.0666492..2.9088676]	[2.0190742..2.9088676]	
						PG 20:4 (5z-8z)/16:0	[0.0..0.056984574]	[0.0..0.065874286]	[0.0..0.06367857]	[0.0..0.16443619]	[0.0..0.16443619]	
						PG 16:0/20:4 (5z-8z)	[1.8156691..2.590208]	[1.9108255..2.3526528]	[1.9272221..2.4491756]	[1.8414968..2.5297875]	[1.8156691..2.590208]	
						PG 18:3 (6z-9z)/18:1	[0.010032006..0.020172382]	[0.012960011..0.022423133]	[0.008611934..0.022433102]	[0.012973011..0.021445833]	[0.008611934..0.022433102]	
						PG 18:1/18:3 (6z-9z)	[0.012267877..0.02283666]	[0.009366296..0.018166423]	[0.0087559465..0.022594256]	[0.008002299..0.015925122]	[0.008002299..0.02283666]	
						PG 18:2/18:2	[0.16915122..0.20424242]	[0.17854701..0.19266382]	[0.17997698..0.2063514]	[0.19255124..0.2065233]	[0.16915122..0.2065233]	
PG 36:5:0	0.11592208	0.108148426	0.13493554	0.124971874	[0.108148426..0.13493554]	Sum	[0.053226884..0.074045666]	[0.05692725..0.06889242]	[0.05710127..0.07429641]	[0.059981797..0.0728715]	[0.053226884..0.07429641]	
						PG 22:5 (4z-7z)/14:0	[0.0..0.0010665242]	[0.0..4.0217573E-4]	[0.0..6.928476E-4]	[0.0..1.6556293E-4]	[0.0..0.0010665242]	
						PG 14:0/22:5 (4z-7z)	[0.0029183056..0.005413829]	[0.0038572154..0.0050908322]	[0.0036038102..0.0058222488]	[0.004292821..0.0050170585]	[0.0029183056..0.0058222488]	
						PG 20:4 (5z-8z)/16:1	[0.0..0.0022234293]	[0.0..8.8558457E-4]	[0.0..0.0012177262]	[0.0..0.0021300376]	[0.0..0.0022234293]	
						PG 16:1/20:4 (5z-8z)	[0.02482699..0.03833499]	[0.026936907..0.036899354]	[0.02756211..0.03928149]	[0.027057432..0.038036387]	[0.02482699..0.03928149]	
						PG 20:5 (5z)/16:0	[0.0018609753..0.00549306]	[0.001744696..0.005218815]	[0.0022916594..0.0059975153]	[0.0021750755..0.0056442665]	[0.001744696..0.0059975153]	
						PG 16:0/20:5 (5z)	[0.0035045464..0.007232069]	[0.0036073911..0.007235175]	[0.0031466247..0.0069022723]	[0.0039080624..0.00762684]	[0.0031466247..0.00762684]	
						PG 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:3 (6z-9z)/18:2	[0.016220871..0.01827371]	[0.016505301..0.017574068]	[0.015758673..0.018416943]	[0.017346716..0.018849168]	[0.015758673..0.018849168]	
PG 37:1:0	0.04033063	0.044610925	0.050919242	0.053897865	[0.04033063..0.053897865]	Sum	[0.13390532..0.1985718]	[0.11667057..0.18820828]	[0.12367744..0.1893951]	[0.12574646..0.19851846]	[0.11667057..0.1985718]	
						PG 16:0/21:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 21:1/16:0	[0.08964078..0.14959288]	[0.075959794..0.13883632]	[0.079765655..0.13843629]	[0.0833744..0.14667949]	[0.075959794..0.14959288]	
						PG 20:1/17:0	[2.3328581E-5..1.9738791E-4]	[0.0..2.0865328E-4]	[0.0..4.4319822E-5]	[5.7057246E-6..1.682921E-4]	[0.0..2.0865328E-4]	
						PG 17:0/20:1	[6.4153597E-4..8.3417835E-4]	[6.219278E-4..9.615359E-4]	[6.617907E-4..9.044862E-4]	[5.8269704E-4..9.122719E-4]	[5.8269704E-4..9.615359E-4]	
						PG 19:0/18:1	[0.02854321..0.03164922]	[0.025744064..0.03200648]	[0.028043237..0.032409515]	[0.027680214..0.033731952]	[0.025744064..0.033731952]	
						PG 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:0	[0.0060405103..0.008369777]	[0.006360267..0.008874082]	[0.0065957555..0.009802944]	[0.0052433703..0.008749895]	[0.0052433703..0.009802944]	
						PG 18:0/19:1	[0.006909864..0.00927042]	[0.006318053..0.008825765]	[0.0064289654..0.009615736]	[0.006635042..0.0103905]	[0.006318053..0.0103905]	
PG 37:2:0	0.07520863	0.09185106	0.080572665	0.08665637	[0.07520863..0.09185106]	Sum	[0.072253816..0.08500376]	[0.06690772..0.08323561]	[0.06999718..0.08524676]	[0.06916487..0.083838575]	[0.06690772..0.08524676]	
						PG 22:2/15:0	[0.0..7.892919E-5]	[0.0..6.9973794E-5]	[1.1621348E-4..3.920171E-4]	[0.0..0.0]	[0.0..3.920171E-4]	
						PG 15:0/22:2	[0.0..1.5785838E-4]	[0.0..1.3994759E-4]	[0.0..2.3246612E-4]	[0.0..0.0]	[0.0..2.3246612E-4]	
						PG 20:2/17:0	[0.0..0.0]	[0.0..3.0496853E-4]	[0.0..3.0782388E-4]	[0.0..6.910856E-4]	[0.0..6.910856E-4]	
