Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 32:0:0	1.5732057	1.527058	1.6051594	1.5237985	[1.5237985..1.6051594]	Sum	[0.78685933..0.78685933]	[0.81135577..0.81135577]	[0.8464517..0.8464517]	[0.7898503..0.7898503]	[0.78685933..0.8464517]	
						PG 14:0-18:0	[0.0047960635..0.0047960635]	[0.0053430554..0.0053430554]	[0.0072647664..0.0072647664]	[0.005768252..0.005768252]	[0.0047960635..0.0072647664]	
						PG 16:0/16:0	[0.7820635..0.7820635]	[0.8060124..0.8060124]	[0.8391869..0.8391869]	[0.7840819..0.7840819]	[0.7820635..0.8391869]	
PG 32:1:0	2.8268137	2.8429682	2.8353355	2.8206487	[2.8206487..2.8429682]	Sum	[1.4358093..1.4358093]	[1.4651518..1.4651518]	[1.4632521..1.4632521]	[1.4636506..1.4636506]	[1.4358093..1.4651518]	
						PG 14:0-18:1	[0.24977566..0.24977566]	[0.2538296..0.2538296]	[0.24793036..0.24793036]	[0.25805825..0.25805825]	[0.24793036..0.25805825]	
						PG 16:0-16:1	[1.186034..1.186034]	[1.2113215..1.2113215]	[1.2153217..1.2153217]	[1.205592..1.205592]	[1.186034..1.2153217]	
PG 32:2:0	0.23614988	0.22814745	0.20479675	0.21439831	[0.20479675..0.23614988]	Sum	[0.11246691..0.11246691]	[0.114566915..0.114566915]	[0.11984992..0.11984992]	[0.114716835..0.114716835]	[0.11246691..0.11984992]	
						PG 14:1-18:1	[0.0030734944..0.0030734944]	[0.0034965917..0.0034965917]	[0.0039560883..0.0039560883]	[0.0034802496..0.0034802496]	[0.0030734944..0.0039560883]	
						PG 14:0-18:2	[0.076187514..0.076187514]	[0.07771931..0.07771931]	[0.08020076..0.08020076]	[0.07760399..0.07760399]	[0.076187514..0.08020076]	
						PG 16:0-16:2	[0.010583018..0.010583018]	[0.010836399..0.010836399]	[0.011613584..0.011613584]	[0.01029218..0.01029218]	[0.01029218..0.011613584]	
						PG 16:1/16:1	[0.02262292..0.02262292]	[0.02251456..0.02251456]	[0.024079489..0.024079489]	[0.023340393..0.023340393]	[0.02251456..0.024079489]	
PG 33:0:0	0.036277127	0.038257707	0.038979534	0.042934958	[0.036277127..0.042934958]	Sum	[0.026678707..0.026678707]	[0.027406512..0.027406512]	[0.028206386..0.028206386]	[0.026257083..0.026257083]	[0.026257083..0.028206386]	
						PG 15:0-18:0	[0.00274368..0.00274368]	[0.0028948998..0.0028948998]	[0.003420997..0.003420997]	[0.0027064178..0.0027064178]	[0.0027064178..0.003420997]	
						PG 16:0-17:0	[0.023935037..0.023935037]	[0.024511602..0.024511602]	[0.024785386..0.024785386]	[0.023550661..0.023550661]	[0.023550661..0.024785386]	
PG 33:1:0	0.3576424	0.33418772	0.33699772	0.32240722	[0.32240722..0.3576424]	Sum	[0.2565156..0.2565156]	[0.25939304..0.25939304]	[0.2672676..0.2672676]	[0.27048385..0.27048385]	[0.2565156..0.27048385]	
						PG 15:0-18:1	[0.14146064..0.14146064]	[0.14396489..0.14396489]	[0.14850819..0.14850819]	[0.14806527..0.14806527]	[0.14146064..0.14850819]	
						PG 16:1-17:0	[0.0069144145..0.0069144145]	[0.006911139..0.006911139]	[0.007078416..0.007078416]	[0.0071734046..0.0071734046]	[0.006911139..0.0071734046]	
						PG 16:0-17:1	[0.1081406..0.1081406]	[0.108516894..0.108516894]	[0.111681014..0.111681014]	[0.11524512..0.11524512]	[0.1081406..0.11524512]	
PG 33:2:0	0.13220844	0.14872426	0.13845679	0.16347624	[0.13220844..0.16347624]	Sum	[0.16560362..0.16560362]	[0.1713456..0.1713456]	[0.17467555..0.17467555]	[0.1731775..0.1731775]	[0.16560362..0.17467555]	
						PG 15:1-18:1	[0.04425327..0.04425327]	[0.04519551..0.04519551]	[0.046290275..0.046290275]	[0.04679753..0.04679753]	[0.04425327..0.04679753]	
						PG 15:0-18:2	[0.108899266..0.108899266]	[0.11203018..0.11203018]	[0.113362156..0.113362156]	[0.11259201..0.11259201]	[0.108899266..0.113362156]	
						PG 16:1-17:1	[0.004022318..0.004022318]	[0.0045750123..0.0045750123]	[0.0041058594..0.0041058594]	[0.004275225..0.004275225]	[0.004022318..0.0045750123]	
						PG 16:0-17:2	[0.008428826..0.008428826]	[0.009544834..0.009544834]	[0.010917263..0.010917263]	[0.009512678..0.009512678]	[0.008428826..0.010917263]	
PG 34:2:0	40.817677	40.29445	40.126663	40.393803	[40.126663..40.817677]	Sum	[21.196474..21.196474]	[20.628885..20.628885]	[20.204601..20.204601]	[21.856407..21.856407]	[20.204601..21.856407]	
						PG 16:1-18:1	[1.1871482..1.1871482]	[1.1842909..1.1842909]	[1.1663277..1.1663277]	[1.3266228..1.3266228]	[1.1663277..1.3266228]	
						PG 16:0-18:2	[20.009333..20.009333]	[19.444584..19.444584]	[19.038273..19.038273]	[20.529783..20.529783]	[19.038273..20.529783]	
PG 34:3:0	1.3218759	1.3776245	1.3259012	1.3582466	[1.3218759..1.3776245]	Sum	[0.63046765..0.63046765]	[0.64154..0.64154]	[0.6520776..0.6520776]	[0.62634367..0.62634367]	[0.62634367..0.6520776]	
						PG 16:2-18:1	[0.015378298..0.015378298]	[0.018141378..0.018141378]	[0.017119622..0.017119622]	[0.016834484..0.016834484]	[0.015378298..0.018141378]	
						PG 16:1-18:2	[0.3845329..0.3845329]	[0.38943008..0.38943008]	[0.39243227..0.39243227]	[0.38143155..0.38143155]	[0.38143155..0.39243227]	
						PG 16:0-18:3 (0z-9z)	[0.2305566..0.2305566]	[0.23396821..0.23396821]	[0.24252576..0.24252576]	[0.22807752..0.22807752]	[0.22807752..0.24252576]	
PG 34:4:0	0.06788976	0.057925686	0.052552037	0.07079454	[0.052552037..0.07079454]	Sum	[0.024283756..0.024283756]	[0.02445988..0.02445988]	[0.026007634..0.026007634]	[0.024930444..0.024930444]	[0.024283756..0.026007634]	
						PG 14:0-20:4 (0z-8z)	[0.004836816..0.004836816]	[0.0046430463..0.0046430463]	[0.004898139..0.004898139]	[0.0049363086..0.0049363086]	[0.0046430463..0.0049363086]	
						PG 16:3-18:1	[0.0050001373..0.0050001373]	[0.0051253294..0.0051253294]	[0.0053966725..0.0053966725]	[0.0051898807..0.0051898807]	[0.0050001373..0.0053966725]	
						PG 16:2-18:2	[0.00861967..0.00861967]	[0.008804076..0.008804076]	[0.009232877..0.009232877]	[0.008781356..0.008781356]	[0.00861967..0.009232877]	
						PG 16:1-18:3 (0z-9z)	[0.0038203124..0.0038203124]	[0.003691458..0.003691458]	[0.004018212..0.004018212]	[0.003960332..0.003960332]	[0.003691458..0.004018212]	
						PG 16:0-18:4	[0.0020068276..0.0020068276]	[0.0021959592..0.0021959592]	[0.0024617321..0.0024617321]	[0.0020625617..0.0020625617]	[0.0020068276..0.0024617321]	
PG 35:1:0	0.5787549	0.5783446	0.5603427	0.5597697	[0.5597697..0.5787549]	Sum	[0.35256502..0.35256502]	[0.37382695..0.37382695]	[0.3700284..0.3700284]	[0.36052594..0.36052594]	[0.35256502..0.37382695]	
						PG 16:0-19:1	[0.086536616..0.086536616]	[0.09229318..0.09229318]	[0.091167256..0.091167256]	[0.089592785..0.089592785]	[0.086536616..0.09229318]	
						PG 17:1-18:0	[0.017000077..0.017000077]	[0.020922126..0.020922126]	[0.019021574..0.019021574]	[0.019623168..0.019623168]	[0.017000077..0.020922126]	
						PG 17:0-18:1	[0.24902844..0.24902844]	[0.26061147..0.26061147]	[0.2598396..0.2598396]	[0.25130993..0.25130993]	[0.24902844..0.26061147]	
PG 35:2:0	0.37325472	0.3521901	0.33507824	0.3259282	[0.3259282..0.37325472]	Sum	[0.25272584..0.25272584]	[0.25428835..0.25428835]	[0.2652137..0.2652137]	[0.2688959..0.2688959]	[0.25272584..0.2688959]	
						PG 16:1-19:1	[0.0029678203..0.0029678203]	[0.002576942..0.002576942]	[0.0027604483..0.0027604483]	[0.003142178..0.003142178]	[0.002576942..0.003142178]	
						PG 16:0-19:2	[0.013413317..0.013413317]	[0.012739597..0.012739597]	[0.0148266945..0.0148266945]	[0.013733255..0.013733255]	[0.012739597..0.0148266945]	
						PG 17:1-18:1	[0.0679247..0.0679247]	[0.067533076..0.067533076]	[0.0697698..0.0697698]	[0.072833896..0.072833896]	[0.067533076..0.072833896]	
						PG 17:0-18:2	[0.16842008..0.16842008]	[0.1714386..0.1714386]	[0.17785674..0.17785674]	[0.17918651..0.17918651]	[0.16842008..0.17918651]	
PG 35:3:0	0.052591547	0.04873614	0.047145285	0.044891357	[0.044891357..0.052591547]	Sum	[0.05410288..0.05410288]	[0.05652914..0.05652914]	[0.058803096..0.058803096]	[0.05741672..0.05741672]	[0.05410288..0.058803096]	
						PG 15:0-20:3 (0z-11z)	[0.0022469242..0.0022469242]	[0.0022834009..0.0022834009]	[0.0025070745..0.0025070745]	[0.0025253014..0.0025253014]	[0.0022469242..0.0025253014]	
						PG 16:1-19:2	[3.4176392E-4..3.4176392E-4]	[4.4294307E-4..4.4294307E-4]	[3.4853854E-4..3.4853854E-4]	[3.8824766E-4..3.8824766E-4]	[3.4176392E-4..4.4294307E-4]	
						PG 16:0-19:3 (0z-9z)	[0.0050685657..0.0050685657]	[0.005889837..0.005889837]	[0.006540024..0.006540024]	[0.0054912083..0.0054912083]	[0.0050685657..0.006540024]	
						PG 17:2-18:1	[0.0053749112..0.0053749112]	[0.0057176244..0.0057176244]	[0.006365216..0.006365216]	[0.005809865..0.005809865]	[0.0053749112..0.006365216]	
						PG 17:1-18:2	[0.039329883..0.039329883]	[0.040474024..0.040474024]	[0.041171797..0.041171797]	[0.041444127..0.041444127]	[0.039329883..0.041444127]	
						PG 17:0-18:3 (0z-9z)	[0.0017408466..0.0017408466]	[0.0017212804..0.0017212804]	[0.0018704452..0.0018704452]	[0.0017579609..0.0017579609]	[0.0017212804..0.0018704452]	
PG 36:1:0	12.758817	13.501188	13.776358	13.585435	[12.758817..13.776358]	Sum	[9.552164..9.552164]	[9.638744..9.638744]	[9.947655..9.947655]	[9.988413..9.988413]	[9.552164..9.988413]	
						PG 16:0-20:1	[0.18227428..0.18227428]	[0.17869887..0.17869887]	[0.18442175..0.18442175]	[0.16848429..0.16848429]	[0.16848429..0.18442175]	
						PG 18:0-18:1	[9.369892..9.369892]	[9.460042..9.460042]	[9.763232..9.763232]	[9.819927..9.819927]	[9.369892..9.819927]	
PG 36:2:0	16.99733	16.828737	16.936895	16.83523	[16.828737..16.99733]	Sum	[8.845638..8.845638]	[9.917669..9.917669]	[9.442175..9.442175]	[9.578897..9.578897]	[8.845638..9.917669]	
						PG 16:0-20:2	[0.20124581..0.20124581]	[0.22455803..0.22455803]	[0.21526329..0.21526329]	[0.21275778..0.21275778]	[0.20124581..0.22455803]	
						PG 18:0-18:2	[6.567142..6.567142]	[7.385439..7.385439]	[6.9869714..6.9869714]	[7.1235337..7.1235337]	[6.567142..7.385439]	
						PG 18:1/18:1	[2.077253..2.077253]	[2.3076684..2.3076684]	[2.2399404..2.2399404]	[2.2426047..2.2426047]	[2.077253..2.3076684]	
PG 36:3:0	3.8836963	3.8328123	3.9009821	3.7870777	[3.7870777..3.9009821]	Sum	[1.8043733..1.8043733]	[1.9125507..1.9125507]	[2.0178566..2.0178566]	[2.0394585..2.0394585]	[1.8043733..2.0394585]	
						PG 16:0-20:3 (0z-11z)	[0.43722185..0.43722185]	[0.45459485..0.45459485]	[0.5010792..0.5010792]	[0.4983147..0.4983147]	[0.43722185..0.5010792]	
						PG 18:0-18:3 (0z-9z)	[0.043396186..0.043396186]	[0.04865987..0.04865987]	[0.04131864..0.04131864]	[0.046384797..0.046384797]	[0.04131864..0.04865987]	
						PG 18:1-18:2	[1.3237556..1.3237556]	[1.409295..1.409295]	[1.4754587..1.4754587]	[1.4947585..1.4947585]	[1.3237556..1.4947585]	
PG 36:4:0	5.3445168	5.1469746	5.241809	5.2084064	[5.1469746..5.3445168]	Sum	[1.332061..1.332061]	[1.4224204..1.4224204]	[1.4582253..1.4582253]	[1.4658326..1.4658326]	[1.332061..1.4658326]	
						PG 16:0-20:4 (0z-8z)	[1.1341319..1.1341319]	[1.2132568..1.2132568]	[1.2255641..1.2255641]	[1.2454746..1.2454746]	[1.1341319..1.2454746]	
						PG 18:1-18:3 (0z-9z)	[0.02811274..0.02811274]	[0.029570283..0.029570283]	[0.027883735..0.027883735]	[0.02623011..0.02623011]	[0.02623011..0.029570283]	
						PG 18:2/18:2	[0.16981676..0.16981676]	[0.1795926..0.1795926]	[0.20477743..0.20477743]	[0.19412766..0.19412766]	[0.16981676..0.20477743]	
PG 36:5:0	0.11592208	0.108148426	0.13493554	0.124971874	[0.108148426..0.13493554]	Sum	[0.038831238..0.038831238]	[0.03997144..0.03997144]	[0.04150458..0.04150458]	[0.04316987..0.04316987]	[0.038831238..0.04316987]	
						PG 14:0-22:5 (0z-7z)	[0.0019312807..0.0019312807]	[0.0020090374..0.0020090374]	[0.0020730011..0.0020730011]	[0.0020018597..0.0020018597]	[0.0019312807..0.0020730011]	
						PG 16:1-20:4 (0z-8z)	[0.016723007..0.016723007]	[0.017167976..0.017167976]	[0.018195469..0.018195469]	[0.0183808..0.0183808]	[0.016723007..0.0183808]	
						PG 16:0-20:5	[0.0054592276..0.0054592276]	[0.0057888827..0.0057888827]	[0.0061208974..0.0061208974]	[0.006434721..0.006434721]	[0.0054592276..0.006434721]	
						PG 18:2-18:3 (0z-9z)	[0.014717733..0.014717733]	[0.015005527..0.015005527]	[0.015115213..0.015115213]	[0.016352484..0.016352484]	[0.014717733..0.016352484]	
PG 37:1:0	0.04033063	0.044610925	0.050919242	0.053897865	[0.04033063..0.053897865]	Sum	[0.19906135..0.19906135]	[0.19128521..0.19128521]	[0.19225256..0.19225256]	[0.20153818..0.20153818]	[0.19128521..0.20153818]	
						PG 16:0-21:1	[0.14752355..0.14752355]	[0.13853014..0.13853014]	[0.13808942..0.13808942]	[0.14637157..0.14637157]	[0.13808942..0.14752355]	
						PG 17:0-20:1	[9.4308716E-4..9.4308716E-4]	[0.0010737047..0.0010737047]	[0.0010105203..0.0010105203]	[9.788473E-4..9.788473E-4]	[9.4308716E-4..0.0010737047]	
						PG 18:1-19:0	[0.033902865..0.033902865]	[0.03434198..0.03434198]	[0.03482741..0.03482741]	[0.036290936..0.036290936]	[0.033902865..0.036290936]	
						PG 18:0-19:1	[0.01669193..0.01669193]	[0.017339293..0.017339293]	[0.018325208..0.018325208]	[0.017896768..0.017896768]	[0.01669193..0.018325208]	
PG 37:2:0	0.07520863	0.09185106	0.080572665	0.08665637	[0.07520863..0.09185106]	Sum	[0.086397156..0.086397156]	[0.08787869..0.08787869]	[0.08981118..0.08981118]	[0.088393465..0.088393465]	[0.086397156..0.08981118]	
						PG 15:0-22:2	[1.8498478E-4..1.8498478E-4]	[0.0..0.0]	[4.2161555E-4..4.2161555E-4]	[0.0..0.0]	[0.0..4.2161555E-4]	
						PG 17:0-20:2	[0.001531801..0.001531801]	[0.0014140503..0.0014140503]	[0.0014708632..0.0014708632]	[0.0013989952..0.0013989952]	[0.0013989952..0.001531801]	
						PG 18:2-19:0	[0.033247437..0.033247437]	[0.03413077..0.03413077]	[0.03583813..0.03583813]	[0.035941396..0.035941396]	[0.033247437..0.035941396]	
						PG 18:1-19:1	[0.046517543..0.046517543]	[0.04728463..0.04728463]	[0.046213135..0.046213135]	[0.045841727..0.045841727]	[0.045841727..0.04728463]	
						PG 18:0-19:2	[0.004915418..0.004915418]	[0.0050492017..0.0050492017]	[0.005867446..0.005867446]	[0.0052113235..0.0052113235]	[0.004915418..0.005867446]	
PG 37:4:0	0.049879402	0.06594739	0.07175162	0.057696953	[0.049879402..0.07175162]	Sum	[0.037293974..0.037293974]	[0.03904235..0.03904235]	[0.040898122..0.040898122]	[0.0415026..0.0415026]	[0.037293974..0.0415026]	
						PG 15:0-22:4 (0z-10z)	[0.0073096235..0.0073096235]	[0.007622171..0.007622171]	[0.008106023..0.008106023]	[0.008201292..0.008201292]	[0.0073096235..0.008201292]	
						PG 16:0-21:4 (0z-8z)	[0.00622303..0.00622303]	[0.0072918395..0.0072918395]	[0.007882077..0.007882077]	[0.007003698..0.007003698]	[0.00622303..0.007882077]	
						PG 17:1-20:3 (0z-11z)	[0.0011317068..0.0011317068]	[0.0012251369..0.0012251369]	[0.0012300393..0.0012300393]	[0.0012056204..0.0012056204]	[0.0011317068..0.0012300393]	
						PG 17:0-20:4 (0z-8z)	[0.015852015..0.015852015]	[0.015763357..0.015763357]	[0.016399983..0.016399983]	[0.016976127..0.016976127]	[0.015763357..0.016976127]	
						PG 18:2-19:2	[0.0016396209..0.0016396209]	[0.0017063343..0.0017063343]	[0.0016699067..0.0016699067]	[0.0019358522..0.0019358522]	[0.0016396209..0.0019358522]	
						PG 18:1-19:3 (0z-9z)	[0.0051379898..0.0051379898]	[0.005433494..0.005433494]	[0.0056100925..0.0056100925]	[0.006179999..0.006179999]	[0.0051379898..0.006179999]	
PG 38:1:0	0.021976754	0.0189791	0.018244032	0.024458388	[0.018244032..0.024458388]	Sum	[0.287921..0.287921]	[0.29469842..0.29469842]	[0.30853227..0.30853227]	[0.31725794..0.31725794]	[0.287921..0.31725794]	
						PG 16:0-22:1	[0.18917826..0.18917826]	[0.19252945..0.19252945]	[0.2057086..0.2057086]	[0.21433577..0.21433577]	[0.18917826..0.21433577]	
						PG 18:1-20:0	[0.072222866..0.072222866]	[0.07204058..0.07204058]	[0.07242022..0.07242022]	[0.07218455..0.07218455]	[0.07204058..0.07242022]	
						PG 18:0-20:1	[0.02651996..0.02651996]	[0.030128254..0.030128254]	[0.030403461..0.030403461]	[0.030737588..0.030737588]	[0.02651996..0.030737588]	
PG 38:2:0	0.2147505	0.22370003	0.2017258	0.20073217	[0.20073217..0.22370003]	Sum	[0.18018843..0.18018843]	[0.19026342..0.19026342]	[0.19892098..0.19892098]	[0.193956..0.193956]	[0.18018843..0.19892098]	
						PG 16:0-22:2	[0.022336388..0.022336388]	[0.029976351..0.029976351]	[0.04075999..0.04075999]	[0.0334739..0.0334739]	[0.022336388..0.04075999]	
						PG 18:2-20:0	[0.03543821..0.03543821]	[0.035286464..0.035286464]	[0.03454791..0.03454791]	[0.03521733..0.03521733]	[0.03454791..0.03543821]	
						PG 18:1-20:1	[0.07037291..0.07037291]	[0.070713684..0.070713684]	[0.070682555..0.070682555]	[0.071433455..0.071433455]	[0.07037291..0.071433455]	
						PG 18:0-20:2	[0.05204099..0.05204099]	[0.054286834..0.054286834]	[0.05293054..0.05293054]	[0.05383129..0.05383129]	[0.05204099..0.054286834]	
PG 38:3:0	0.84346217	0.8054389	0.79292357	0.81512415	[0.79292357..0.84346217]	Sum	[0.40584722..0.40584722]	[0.4028984..0.4028984]	[0.4307995..0.4307995]	[0.42253834..0.42253834]	[0.4028984..0.4307995]	
						PG 16:0-22:3	[0.014041898..0.014041898]	[0.013628529..0.013628529]	[0.014315797..0.014315797]	[0.014782775..0.014782775]	[0.013628529..0.014782775]	
						PG 18:2-20:1	[0.0512778..0.0512778]	[0.0513146..0.0513146]	[0.052077428..0.052077428]	[0.051255908..0.051255908]	[0.051255908..0.052077428]	
						PG 18:1-20:2	[0.05788704..0.05788704]	[0.057763692..0.057763692]	[0.06515108..0.06515108]	[0.061265573..0.061265573]	[0.057763692..0.06515108]	
						PG 18:0-20:3 (0z-11z)	[0.2826406..0.2826406]	[0.28019136..0.28019136]	[0.2992552..0.2992552]	[0.295234..0.295234]	[0.28019136..0.2992552]	
PG 38:4:0	5.475292	5.7040377	5.429949	5.7278705	[5.429949..5.7278705]	Sum	[1.625524..1.625524]	[1.6493695..1.6493695]	[1.7347512..1.7347512]	[1.793277..1.793277]	[1.625524..1.793277]	
						PG 16:0-22:4 (0z-10z)	[0.08760432..0.08760432]	[0.0923228..0.0923228]	[0.100992866..0.100992866]	[0.09516165..0.09516165]	[0.08760432..0.100992866]	
						PG 18:1-20:3 (0z-11z)	[0.040581837..0.040581837]	[0.045092236..0.045092236]	[0.04682775..0.04682775]	[0.06360107..0.06360107]	[0.040581837..0.06360107]	
						PG 18:0-20:4 (0z-8z)	[1.4973384..1.4973384]	[1.5119538..1.5119538]	[1.5869306..1.5869306]	[1.6345141..1.6345141]	[1.4973384..1.6345141]	
PG 38:5:0	2.8080502	2.851628	2.8319516	2.6661398	[2.6661398..2.851628]	Sum	[0.58029646..0.58029646]	[0.60855794..0.60855794]	[0.63253224..0.63253224]	[0.6355627..0.6355627]	[0.58029646..0.6355627]	
						PG 16:0-22:5 (0z-7z)	[0.45492873..0.45492873]	[0.48182273..0.48182273]	[0.49395594..0.49395594]	[0.4996011..0.4996011]	[0.45492873..0.4996011]	
						PG 18:1-20:4 (0z-8z)	[0.1253679..0.1253679]	[0.12673488..0.12673488]	[0.13857634..0.13857634]	[0.13596147..0.13596147]	[0.1253679..0.13857634]	
PG 38:6:0	1.4522967	1.42117	1.4207127	1.4131297	[1.4131297..1.4522967]	Sum	[0.20501845..0.20501845]	[0.21648929..0.21648929]	[0.21501122..0.21501122]	[0.22068147..0.22068147]	[0.20501845..0.22068147]	
						PG 16:1-22:5 (0z-7z)	[0.01552315..0.01552315]	[0.012319364..0.012319364]	[0.012919385..0.012919385]	[0.011032106..0.011032106]	[0.011032106..0.01552315]	
						PG 16:0-22:6	[0.18266924..0.18266924]	[0.19546805..0.19546805]	[0.19393322..0.19393322]	[0.20054497..0.20054497]	[0.18266924..0.20054497]	
						PG 18:2-20:4 (0z-8z)	[0.0068261106..0.0068261106]	[0.008701797..0.008701797]	[0.008158646..0.008158646]	[0.009104339..0.009104339]	[0.0068261106..0.009104339]	
PG 39:4:0	0.0	0.0	0.0	0.032607075	[0.0..0.032607075]	Sum	[0.052710988..0.052710988]	[0.052074485..0.052074485]	[0.05408919..0.05408919]	[0.040609587..0.040609587]	[0.040609587..0.05408919]	
						PG 16:0-23:4 (0z-10z)	[0.039585948..0.039585948]	[0.037203852..0.037203852]	[0.041173164..0.041173164]	[0.026161088..0.026161088]	[0.026161088..0.041173164]	
						PG 17:0-22:4 (0z-10z)	[0.0076451288..0.0076451288]	[0.008931763..0.008931763]	[0.008004424..0.008004424]	[0.008615191..0.008615191]	[0.0076451288..0.008931763]	
						PG 19:0-20:4 (0z-8z)	[0.0054799276..0.0054799276]	[0.005938842..0.005938842]	[0.0049115983..0.0049115983]	[0.0058333017..0.0058333017]	[0.0049115983..0.005938842]	
PG 39:5:0	0.02981678	0.0	0.0	0.0	[0.0..0.02981678]	Sum	[0.031813424..0.031813424]	[0.033287007..0.033287007]	[0.035744105..0.035744105]	[0.034939915..0.034939915]	[0.031813424..0.035744105]	
						PG 17:1-22:4 (0z-10z)	[0.0027020162..0.0027020162]	[0.0029250637..0.0029250637]	[0.0029537582..0.0029537582]	[0.0030680797..0.0030680797]	[0.0027020162..0.0030680797]	
						PG 17:0-22:5 (0z-7z)	[0.007200257..0.007200257]	[0.008133158..0.008133158]	[0.008130046..0.008130046]	[0.00785966..0.00785966]	[0.007200257..0.008133158]	
						PG 18:1-21:4 (0z-8z)	[0.020378333..0.020378333]	[0.020773273..0.020773273]	[0.023157142..0.023157142]	[0.022355767..0.022355767]	[0.020378333..0.023157142]	
						PG 19:1-20:4 (0z-8z)	[0.0015328276..0.0015328276]	[0.0014554993..0.0014554993]	[0.0015031585..0.0015031585]	[0.001656404..0.001656404]	[0.0014554993..0.001656404]	
PG 40:5:0	0.8612341	0.91333616	0.8849515	0.8925721	[0.8612341..0.91333616]	Sum	[0.2672778..0.2672778]	[0.27618116..0.27618116]	[0.2771377..0.2771377]	[0.26679948..0.26679948]	[0.26679948..0.2771377]	
						PG 16:0-24:5 (0z-9z)	[0.07600405..0.07600405]	[0.077606045..0.077606045]	[0.07538306..0.07538306]	[0.06556629..0.06556629]	[0.06556629..0.077606045]	
						PG 18:0-22:5 (0z-7z)	[0.18166733..0.18166733]	[0.19123983..0.19123983]	[0.19283053..0.19283053]	[0.19337416..0.19337416]	[0.18166733..0.19337416]	
						PG 20:1-20:4 (0z-8z)	[0.0096065095..0.0096065095]	[0.007335139..0.007335139]	[0.0089240875..0.0089240875]	[0.0078589795..0.0078589795]	[0.007335139..0.0096065095]	
PG 40:6:0	0.47744644	0.46609253	0.48486814	0.45487309	[0.45487309..0.48486814]	Sum	[0.5347237..0.5347237]	[0.48337588..0.48337588]	[0.5100085..0.5100085]	[0.48548123..0.48548123]	[0.48337588..0.5347237]	
						PG 18:1-22:5 (0z-7z)	[0.47068018..0.47068018]	[0.41745585..0.41745585]	[0.44415778..0.44415778]	[0.4176244..0.4176244]	[0.41745585..0.47068018]	
						PG 18:0-22:6	[0.06046702..0.06046702]	[0.063517734..0.063517734]	[0.065850735..0.065850735]	[0.06309743..0.06309743]	[0.06046702..0.065850735]	
